E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,B0,B1,B5,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0885488856504521,1.5092366361446856,7.273076870769974,1.2159943186096744,1.850179695766608,1.1468554538637163,0.11282097496013246,1.6988786026224936,0.9281733038960371,1.9079234338742308,7.171915111980303,0.3546626179699522,0.4050617224440919,-0.10875244026946024,-0.46448052504798854,0.3894070467335141,-0.10875244026946024,0.06630073466080286,0.1713352168971975,-0.13164916293684314,0.18468620561030014,-0.5548080739654261,0.02773021926452801,-0.6298815522799007,-0.14843849422981453,-0.5130732547194288,-1.247989289235724,0.011211568024965674,0.011211568024965698,0.018201958507401077,0.2577578837966709
0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0885488856504521,1.1526468371671845,1.9720047698458736,1.8845010461231708,1.5186188336710567,1.7078040200238513,7.2364872185644895,0.9410583298988348,7.430819011713373,0.10974377036333052,1.236259330678038,0.3548866573237538,0.40897948463913986,-0.1088041216707959,-0.4665495424930571,0.3963310578668384,-0.10880412167079596,0.07001411077059672,0.17303928622900502,-0.13298279173631883,0.18640307511875728,-0.5649275896234703,0.030550155925376132,-0.6351460742496889,-0.14886061616348212,-0.516379645785329,-1.2545508954934261,0.011211568024965701,0.011211568024965698,0.01831511132002227,0.26334826613051954
1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0885488856504521,1.141856597096445,1.8536933996154628,1.820997498384957,1.5011000763313338,1.6911053914775895,7.116476743217638,0.9172268621608651,7.139470244748406,0.11557818968764635,1.1987731446369163,0.3544185491846048,0.40169238553406966,-0.10869041468939247,-0.46268873041637093,0.3835175585538243,-0.10869041468939244,0.06318001863966669,0.16987498399107934,-0.1304946943081667,0.1832111629994085,-0.5461994526049302,0.02535310243304341,-0.6253706244674768,-0.14807070437230513,-0.5102081827088667,-1.242273772527756,0.011211568024965715,0.011211568024965698,0.01810382855181001,0.25302286424565756
1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0885488856504521,1.19960051802883,1.919085388759804,1.8544272168753386,1.5104872768561906,1.7260313628487152,7.405215719034081,0.9485625281260198,7.456542886379972,0.112245450162559,1.2656106618263756,0.3615353368503956,0.40065893388730434,-0.11128864827875073,-0.4865945799467262,0.39678950335722707,-0.11128864827875071,0.06580882621171054,0.17762119454434205,-0.13252958297020306,0.18470617221463062,-0.5539187141729147,0.028338895039576706,-0.6437237907624139,-0.15638025985288972,-0.5116590739887182,-1.2671952330837637,0.011211568024965687,0.011211568024965698,0.018217041702330815,0.2642599203870241
1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0885488856504521,1.101035241255979,1.8981168653244416,1.84633947565038,1.5080481021381986,1.6752099885759406,6.969023645918747,0.9104460146670309,7.113406773994015,0.1133263461817184,1.17293338411015,0.348673304602036,0.4088490195381048,-0.10653802388277017,-0.44527030850878374,0.38296522249467746,-0.10653802388277023,0.06672785687854563,0.16586996827300637,-0.1308660477940563,0.18465117202016856,-0.5555325939935649,0.027202817920256528,-0.6178376800076713,-0.1415419443617203,-0.514264619783266,-1.2312444111853975,0.011211568024965701,0.011211568024965698,0.01818762434262328,0.2520991747006211
1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0885488856504521,1.1440140257917346,1.9034657941417754,1.838434505415943,1.503148020118563,1.694208547200887,7.179544730915234,0.9253664952240914,7.224377114839333,0.11268920644634806,1.2409861125097192,0.3528499447253528,0.40308753822585314,-0.10650903973085678,-0.46334684370177903,0.3864452495904728,-0.10650903973085674,0.06623829925732078,0.1716816560207697,-0.13041328540765496,0.18305780550067707,-0.5513596524973983,0.028169295376389875,-0.6282612466087045,-0.14777741034397152,-0.5108473881371259,-1.2445519915092795,0.011211568024965715,0.011211568024965698,0.0181285275201182,0.25603196418281765
1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0885488856504521,1.1492585966813285,1.9116930776280283,1.8601473011747918,1.5143916263499817,1.7028293383343838,7.165411439770401,0.9305469274764173,7.314396595354362,0.11293232142683411,1.1947515770449122,0.35619965700012807,0.4067350810639754,-0.11065870988085362,-0.46543934614152555,0.39192343743782887,-0.11065870988085365,0.06635183337624491,0.17104066750706104,-0.1327011823766962,0.18606894961940612,-0.5577343796099214,0.027356522531557598,-0.6312502883136181,-0.14899819501121864,-0.5149580375791619,-1.2508971600235963,0.011211568024965715,0.011211568024965698,0.018264129618024413,0.2592222550611327
1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0885488856504521,1.1479131651001262,1.8788157584427425,1.8083165415739735,1.4964555579644234,1.6547774640579958,6.999507025307801,0.8840037363133005,6.882137944375431,0.11372672622748645,1.1882303331162805,0.3385022721370737,0.40634228416622287,-0.10599199676983315,-0.4197848374860602,0.36655125882509243,-0.10599199676983317,0.0621906812269519,0.16729908797942933,-0.12264825270208907,0.17966966451438993,-0.5457364035205402,0.028232853169832997,-0.598969982181508,-0.1506428320471735,-0.5108511709349086,-1.214929559868894,0.011211568024965687,0.011211568024965698,0.018047813922578364,0.2439030061230033
1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0885488856504521,1.1453965522687541,1.9357703540844824,1.8906713452909323,1.5209208661809943,1.7415679127973056,7.338735069852083,0.9715255309432119,7.658430988523266,0.11194520838274921,1.242582115950788,0.37047529167013205,0.4034997261491553,-0.11145091618739855,-0.508626344852038,0.41188804135074997,-0.11145091618739854,0.07039264913980728,0.17524008016274942,-0.14047320552738762,0.18955669433732314,-0.5634791722353016,0.0272193695688758,-0.6602174757365897,-0.1462177908227603,-0.5149351158863712,-1.2800000226459032,0.011211568024965701,0.011211568024965698,0.018342874693278312,0.2714148358233623
1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0885488856504521,1.156462988928321,1.9236749420279933,1.8683649013112953,1.539565029060856,1.7239174753701518,7.177744128537305,0.944044629294459,7.260592643999097,0.11384888383159533,1.2280660707409978,0.3596691039299818,0.41202917287925844,-0.1077375014474991,-0.46809854429108466,0.3856192613305698,-0.10773750144749904,0.06818823824103866,0.17087485270632144,-0.1283038185976571,0.1866802623433779,-0.5573400540701545,0.02776158524807909,-0.6398193370306691,-0.1503085355561634,-0.5240337344212752,-1.2665396859172273,0.011211568024965701,0.011211568024965698,0.0185677302732567,0.25731544273291296
1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0885488856504521,1.1386129980445328,1.8944176690607917,1.8346905249266992,1.4834603947392053,1.6775343553777986,7.16616729396738,0.9146770765860611,7.282423690358548,0.11194091457006887,1.2056985982042787,0.3503978309672238,0.39913066293511484,-0.10959318153114908,-0.4613725206275971,0.39254390110104004,-0.10959318153114901,0.06470621009244268,0.17170436758447216,-0.13445476596659153,0.18299310734657986,-0.5525880252527584,0.027696312074040122,-0.6214166447793159,-0.1468427831490297,-0.5037624357519199,-1.232177238023265,0.011211568024965701,0.011211568024965698,0.01789108739198811,0.25808913513444837
1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0885488856504521,1.1387094148271963,1.8951424948406992,1.8166244427337397,1.4918003517307263,1.685493595075662,7.193611395265145,0.9201257419484321,7.133912951920212,0.1124428801058526,1.1730380215473066,0.3494794953752516,0.39941461720121724,-0.1023514348859268,-0.46123042044601176,0.3809550999496192,-0.10235143488592685,0.0661159311215241,0.1723230393511761,-0.1281291861919321,0.18003669674927783,-0.5449554275515971,0.028980954900274664,-0.6252307480479897,-0.14654528804517078,-0.5066997206085242,-1.238137576886166,0.011211568024965701,0.011211568024965698,0.01799167039367111,0.252825913757687
1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0885488856504521,1.1542074392909976,1.9194547893397018,1.8807722572280927,1.5250233039400583,1.7109681677354638,7.151873260999076,0.9354342483104846,7.399867236687305,0.11316133763561324,1.2553656722165663,0.35937637093081765,0.4101917121213694,-0.11461004151354942,-0.46741389130581384,0.3971385874453901,-0.11461004151354945,0.06645210348025107,0.17042968436531503,-0.1348872523912582,0.188932411156223,-0.5637888797070213,0.026580181356815835,-0.634064183567445,-0.15015247348760616,-0.5188458795898494,-1.2568876440423582,0.011211568024965687,0.011211568024965698,0.018392351627565112,0.2622513350541316
