E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,B5,B6,B9,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19,flux_20
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.22836186392099064,0.6536193113442873,1.3320186824532534,0.6477305561605207,1.6200721739294741,0.08124654394611605,1.3397543936940632,0.5599734901841278,0.6542859640236999,0.6698674897166911,0.04443792801947538,-0.032250831238193334,-0.237389366509158,0.015506097106795312,0.030224699319328547,-0.06420979739852607,-0.06373542413188017,0.23547098432951324,-0.12766437439157552,-0.00204344236981311,0.20649479628311077,-0.03089457022604724,0.031527151689342434,0.02701344873303535,0.005549025308583308,0.13217807734788256,-0.10717402847464252,0.04324507821494715,0.04324507821494715,0.05040145734810067,0.18105041665324265
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.5924822088832941,0.225716186357838,0.6798710862232277,1.574525784764193,0.07467196953562416,0.6450068886382243,1.2717342164037393,0.6424109253879196,1.3374816988210945,0.6595715403803908,0.02389477191050921,-0.03519811782068988,-0.2303172401555116,0.017175972641085002,0.02747623210414916,-0.07233192544558895,-0.06293630545189037,0.23446307818075848,-0.12680767371556964,-0.0013161956918270983,0.20269822987729802,-0.027619010278213632,0.028157968264776047,0.010864637294671076,0.0070466055613999145,0.14410100468567466,-0.1071164464786264,0.04324507821494715,0.04324507821494715,0.046322906856745755,0.18375416828075541
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.5327240610775263,0.23111075020827057,0.6612340418801581,1.6612735868294926,0.08711137673727674,0.6507888461407625,1.3884098133557448,0.6637445372592073,1.3423063057395856,0.6505035064381355,0.0625256315432311,-0.029715269891019996,-0.243759652579038,0.013989661190145719,0.032669030814954154,-0.0570246720941682,-0.06452504350715678,0.236606716874543,-0.12861952940843227,-0.0026799777385968226,0.20991967150619673,-0.0338399810728413,0.034487604422729405,0.04138303464859033,0.004326027533787426,0.12172409918257132,-0.10733956411622263,0.04324507821494715,0.04324507821494715,0.05403971819490632,0.1787169860091918
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.5152461917258534,0.14976180534256336,0.5740748324921002,1.2653150937177446,0.06611983545922409,0.49308501651313036,1.1311881626577236,0.5375296078895674,1.2107143687251771,0.5001003674120846,0.031405965322846646,-0.018085574878864148,-0.18861751740722701,0.008362286267723666,0.025287073994099,-0.058254511653651884,-0.04586152395426354,0.17090985445300533,-0.08387760318165345,-0.003345319387793122,0.16954345736519397,-0.019074060042033034,0.024845153871047864,0.005336016100901286,0.004834643515885402,0.1033867409518,-0.08126115744233707,0.04324507821494715,0.04324507821494715,0.04101757323944395,0.1551597729526975
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.5822108712082131,0.2792933602788813,0.7200943458951798,1.8329226112698886,0.09002586737648118,0.7448585297084612,1.4488703836159718,0.7168521870260044,1.4208003531208993,0.7481175949660818,0.05268201031635231,-0.04122795755572557,-0.2659950982348962,0.020241983572381494,0.032988869738094305,-0.06655238451679318,-0.07537314082163286,0.27527856335348394,-0.15567823417816096,-0.0008833576922631873,0.2266450065985439,-0.039350091636352336,0.035400249240200014,0.04172349186255847,0.005885810176611023,0.1493549915558025,-0.12355017157147526,0.04324507821494715,0.04324507821494715,0.055847728339199015,0.19462562873308822
1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.47766364933213895,0.19024786567135465,0.4539645140381776,1.9514694254096612,0.059238464784599085,0.5569672280908263,1.595635738556318,0.41475943972721757,1.2640192503004817,0.51639493428719,0.029453746485229824,-0.02961758564651293,-0.15038592741743767,0.030429499000173332,0.021583568775071612,-0.03967140775461936,-0.059860207794427855,0.1821324781305748,-0.10310456914809266,-0.002589250631133094,0.13068934896857556,-0.019696578448862127,0.01223504786273228,0.030770798198193616,0.004031414093013657,0.08456881881263145,-0.08648943956861196,0.043245078214947136,0.04324507821494715,0.036748701063925825,0.12269660144132362
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.6140394240576108,0.2511239444177561,0.8266751852742491,1.4361470269639152,0.09798410942676482,0.705363267431836,1.2129440635735076,0.8283441525812985,1.3878445391869896,0.7458422726042903,0.05595621317029489,-0.0338701789286842,-0.2980224078928859,0.004858243709477225,0.03691541714560769,-0.08133878961777906,-0.06537939627505966,0.27094738002169183,-0.14217363027127636,-0.0014549312875023635,0.2619594839120881,-0.03606292398079787,0.04479736152004961,0.02402294158962348,0.006657347005766552,0.16294805020170244,-0.12003931221116382,0.04324507821494716,0.04324507821494715,0.060784639840680874,0.22343208026724756
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.5908461488721004,0.24430953672671774,0.6978877507069858,1.7326414198774194,0.08584821871518271,0.6817899207276044,1.3468051851334881,0.6836046672831969,1.36817436147446,0.685399192552459,0.04906158922736657,-0.03284355039753689,-0.25333385035121125,0.011210013715263312,0.03187897552404218,-0.06578900018639738,-0.06738520659151034,0.2462269680529703,-0.136671775167384,-0.0017720054285599628,0.21600015693150318,-0.037333693419708054,0.0343572395144736,0.030744693213862417,0.006413746622404171,0.14028432146799524,-0.11253164679082081,0.04324507821494715,0.04324507821494715,0.05325611556909238,0.18862367555131376
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.5422417099780326,0.21932493599163122,0.6534915948844944,1.556214131207433,0.0786286122817386,0.6283584531394908,1.3232937665059086,0.6360380041100976,1.3235898365834393,0.6361871401082021,0.04186741463914264,-0.03183826804844551,-0.22833553833237635,0.017785768927167087,0.029282882597737144,-0.0632211647818437,-0.06167769385909026,0.2291905229961759,-0.1225576567980248,-0.0021835871608704193,0.20092088738985017,-0.027414650942526188,0.029922475986795635,0.024936630375775093,0.005077784486187654,0.12754350240904533,-0.10412504115388169,0.04324507821494715,0.04324507821494715,0.048777418161770815,0.17662437325219202
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.5401992787462119,0.20177358241302049,0.6446684460913253,1.507438035369348,0.082213850373675,0.5962363663994474,1.2829081613926683,0.6177249522629353,1.296786380858566,0.6092983893369267,0.03982345144405221,-0.03355109456287672,-0.2219461175097231,0.011872647031609875,0.015572363837409243,-0.058093446955613234,-0.057506246675150724,0.21733283943228446,-0.11275092609373918,-0.003147326428719905,0.1950170708078665,-0.0269290467018566,0.03302120240686625,0.02333752633500369,0.004825522114071966,0.12243460216560176,-0.09848975763353561,0.043245078214947136,0.04324507821494715,0.05100152784074204,0.17423967062112017
