E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,B4,B6,B7,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19,flux_20,flux_21,flux_22,flux_23,flux_24,flux_25
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4464699542149251,0.5384749268790032,0.2408272920434979,0.3950441356129263,0.1471499273766706,0.44204249114635963,0.5502534177315459,0.19173214319166798,0.27584756594999543,0.13130069239990824,-0.005574432904861152,0.0018128519382230059,0.05775770576617731,0.037404593406057764,0.0016671005758540371,0.0027050656007487025,-0.0063401334641879385,-0.00026365721706185855,-0.007494529386313958,0.06404010253980244,-0.0004418801749576616,-0.053912976490449925,-0.12816403038830426,0.04978941174886319,0.0248327139158332,-0.0003493678788752102,-0.004200160811229458,0.017056755274807697,-0.12075618333384856,0.06944943578344849,-0.0019053642343054584,-0.0316344419082984,0.021243225271374958,0.02124322527137496,0.0419671856017015,0.009376529708458262
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.44529951033572596,0.14982584132675406,0.5436610444432752,0.12815776267796467,0.45257896847971096,0.40346923400905077,0.19224455922143643,0.2813875189636971,0.23735317246755064,0.5510783363625081,-0.003594438911599796,0.0018036516313265508,0.05625230492150661,0.038106310878301845,0.001636560729523459,0.002794766572535535,-0.006108322519710481,-0.0005312771249753913,-0.007410308904370925,0.0654228878370708,-0.0005526895063660119,-0.0537851322558284,-0.13127335924813924,0.04962823389759688,0.026304638339493026,-0.0001700514364392034,-0.004408425963693114,0.017267680819039948,-0.12315322067210517,0.0705432134892106,-0.0021862897012533567,-0.032523997662083755,0.021243225271374955,0.02124322527137496,0.0427303567387818,0.009401589064945048
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4472502055391487,0.14543492389009305,0.5351825392728053,0.1333065682769187,0.4353159932125966,0.38966277361132406,0.1914046263652681,0.272327732060109,0.24307664591502667,0.5497261611346496,-0.006831924419531473,0.0018192030386035534,0.05871805113509757,0.03696596401994781,0.001686691943127352,0.0026478021461561986,-0.006488172297241789,-9.188252947399736e-05,-0.0075482184606737,0.06315594940024159,-0.00037286108906931653,-0.05399890433130954,-0.12617918379156018,0.049896168336209495,0.02390794449017367,-0.00046447159233071675,-0.004066803311061629,0.016920737466157312,-0.11923471501401958,0.06875197778717614,-0.0017275925353421526,-0.031067640099930374,0.02124322527137496,0.02124322527137496,0.04147806630064654,0.009360512721417712
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4436053814698557,0.14666515638501915,0.5361786801033257,0.13002653298407074,0.4391089869528261,0.39420646673276405,0.19119312536100008,0.27342192077266064,0.24674060791386476,0.5493856738962494,-0.005514949904462125,0.0009592114859943374,0.05717826482773768,0.03709490225426422,0.0016635036871925231,0.0027188239911177903,-0.006266426978171331,-0.00031112346931741475,-0.00751072818402469,0.06399554686143358,-0.0008748172892734142,-0.05357557320712474,-0.127215542427533,0.04946536164110956,0.024514827355195015,-0.0001986840720633945,-0.0042117195231087395,0.016880950090684195,-0.11980542798164975,0.06878425557760234,-0.001635344703204358,-0.031344363872061964,0.021243225271374965,0.02124322527137496,0.04182892882819403,0.009350169409039957
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4490457111020634,0.14758316488396256,0.5405346648419516,0.13244799220396694,0.4446794114360331,0.39579101735683125,0.19221706773199126,0.27803314081255903,0.23557709284561965,0.5510340788831969,-0.005628120667521178,0.0025783531242989095,0.05827950220601505,0.037683408144655386,0.001670380714661246,0.002692664119749164,-0.0064065436893867315,-0.00022082120761172247,-0.007479935824562633,0.06407869800375493,-5.5988806964134274e-05,-0.05421627831533309,-0.12901695886542727,0.05008081663827657,0.02511931829554948,-0.0004853591384647044,-0.004189601529183533,0.01721516049531221,-0.12161160857498557,0.07004839268582491,-0.0021489827927983415,-0.031895603432312555,0.02124322527137496,0.02124322527137496,0.042090745016254254,0.009400244612401921
1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.41107015630597593,0.15543522016296887,0.5387086299893497,0.18098813566396615,0.4562685315294457,0.42678425375051615,0.19905573194799794,0.2794966001147975,0.29706865321828413,0.5620433783487654,-9.847050857485565e-05,0.001977978268624414,0.0411264530944594,0.03705952438035138,0.0016899276229309927,0.0017539118151009793,-0.009351550380106391,-0.002074930056214775,-0.008064701011176893,0.07010312828930906,0.001240085489245167,-0.04911935543523525,-0.131243886524292,0.04564194155076159,0.028218624174863954,-0.001231627063724522,-0.005293860905611193,0.016110183600444937,-0.12401072904948462,0.06762426347429036,0.0004937342843452826,-0.03207401131604416,0.021243225271374965,0.02124322527137496,0.04433015258595938,0.009734684822166098
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.46742892543438824,0.14286983643515155,0.5393554168627853,0.10475341614565908,0.43479011472122886,0.3786353676110152,0.18785563607155745,0.2745342369207298,0.2103149367601027,0.5440127797330003,-0.00858519305233001,0.0017177093478907713,0.06696580707934713,0.037772418472037175,0.0016534009493388308,0.0032143545309950305,-0.004729283779313516,0.0007143759351903728,-0.007188518019655345,0.060877277569405495,-0.0013159712300035674,-0.056724473648932565,-0.12660644070777188,0.052238721847098775,0.02312122047483306,0.00013738904850871345,-0.003586481244500929,0.017588014189564655,-0.11927139080890163,0.07046098746680905,-0.0031710696264030513,-0.03141952404077575,0.02124322527137496,0.02124322527137496,0.04074650289979913,0.009186951771385758
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.44606900678959466,0.14937866147430423,0.6415729899871853,0.1324308051573751,0.4482119750636035,0.40634676129095526,0.19313007149668907,0.27402736615317624,0.2460043036636885,0.5525038881238996,-0.006167567994223622,0.001874795532153676,0.05830961694314705,0.033058371579740155,0.0016615350346162743,0.00272070961129844,-0.006382276812623072,0.003376819281331503,-0.0074160861865810584,0.06635376773073949,-0.0006101898649252761,-0.05363513281464924,-0.12963489666839068,0.049721062656048205,0.023497348329538183,-0.0003165020614801263,-0.007638918703375606,0.01754457331289662,-0.11944169802045525,0.07190555106996488,-0.0021684833355988253,-0.03204743609826768,0.021243225271374958,0.02124322527137496,0.04260282096489679,0.00944489443887919
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4466579913709127,0.14615111276272932,0.4925812889985821,0.13079954295153362,0.43927657910469564,0.3899969415821466,0.19110818339561703,0.276651915164268,0.23853544060192275,0.5492489291308158,-0.005311327941147366,0.0017854412003899824,0.057512828135846704,0.039339843611973374,0.0016696464853966954,0.002698005724777729,-0.006321580314461891,-0.0018832877784491914,-0.007529557681050315,0.063007353443101,-0.0003674497127492283,-0.054036620153213276,-0.1275035103751574,0.04982100149116502,0.025428899355039253,-0.0003644362819689899,-0.0026691200627549615,0.016838904180230523,-0.12133899214844412,0.06835397220348728,-0.001788454631170222,-0.0314492266805874,0.021243225271374965,0.02124322527137496,0.04168232349519386,0.00934601538015022
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.447914550785369,0.1466468803856908,0.5395182179588821,0.1318248155404738,0.4443001784806972,0.3968841271558733,0.19723066247763352,0.27695752575785776,0.2413170630155608,0.5591052700120994,-0.005535594607365208,0.0018130488978979498,0.05799262028688366,0.03754524466145322,0.0008936593715389346,0.0028591530272395215,-0.006379524472224282,-0.0003258198352098507,-0.00784498182824775,0.06434704795287349,-0.00041865392604350897,-0.054084358245220725,-0.1288283706518661,0.04996031322417545,0.02487083097122047,-0.00033866394465896944,-0.004190519728744593,0.01700383665006327,-0.12112783208833146,0.07010744581274797,-0.0018930388792824868,-0.03200048167062767,0.02124322527137496,0.02124322527137496,0.04182371650991741,0.009645431044348755
