E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,B3,B4,B6,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.19003983987871206,0.2526748039287218,0.6258359739946175,0.8850431701384267,0.2233619127506352,0.02381148995303983,0.009057155879967907,0.216693144110402,0.026548953912182184,0.15671368384357828,-0.005690695158411906,0.007138057642882643,0.0013890090431916955,0.004876418248046983,-0.02199523271499705,0.013290455623347798,-0.009795528214505165,-0.007898018385271675,0.0006406037780931559,0.0008067587063775787,0.0010578589612062206,-0.008097065475205806,-0.015995083860477467,0.000251100254828638,0.0002511002548286414,0.021387521098553585,0.0005747321328267741
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.1659831806972156,0.026283399166127853,0.2201919007495925,0.18840415671162078,0.02300503308328314,0.8888224292703192,0.01438812047248978,0.25538964034170414,0.20616025485977038,0.6713522944149782,-0.004672836630723776,0.006535583701700756,0.0012178007376288471,0.004368050450436471,-0.021744634636850224,0.013033598486654413,-0.010559097668539637,-0.007730501075215658,0.0008822119959968266,0.0009805350749801558,0.0012316353298087966,-0.008445250342734023,-0.01617575141794967,0.000251100254828638,0.0002511002548286414,0.021478848829388424,0.0009130145573415425
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.1525251046829122,0.026656773904184212,0.2150176185544451,0.1907079247223107,0.024155835938664223,0.8830970558724043,0.006724447467233835,0.2513928947236093,0.2318275950727401,0.6054022162731472,-0.006137304340595715,0.007398475769031028,0.0014611276326110451,0.005102884175523067,-0.022098504545610773,0.013400398784355535,-0.00945236519174791,-0.007969962645878192,0.0005330283130582682,0.000728143115377042,0.0009792433702056833,-0.007940093508483959,-0.01591005615436215,0.0002511002548286345,0.0002511002548286414,0.021340492292839495,0.00042670746753839734
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.15795427333243547,0.026344006448150378,0.23169713950283308,0.19228162389103867,0.0295641969160001,0.9111576752747983,0.009278727615012467,0.2622926210704249,0.20434974713699958,0.6788435988993797,-0.005723350214776256,0.006315395264005368,0.0013784462880660532,0.004933696146118643,-0.021811412203296795,0.01325130137450363,-0.009610435407979123,-0.007856072868607473,-0.00011199291095658447,0.0007040379601856944,0.0009551382150143339,-0.008767290103921382,-0.01662336297252884,0.0002511002548286449,0.0002511002548286414,0.022018591478425,0.0005887922194084407
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.1561861558407497,0.026620375644185807,0.21074316700693563,0.18908311820703005,0.021538641084705365,0.8744039942490709,0.0089654952497648,0.2487844724288267,0.23172012399680314,0.6048656726745866,-0.005674981937664179,0.007460040155217835,0.0013922270764555223,0.004851670564441979,-0.02206004681646684,0.01330084446251429,-0.009865733978802176,-0.007911557976456006,0.0009374138400571174,0.0008476443774965419,0.001098744632325184,-0.007829575506419884,-0.015741133482875883,0.0002511002548286345,0.0002511002548286414,0.02113041996893417,0.0005689157032333211
1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.16571005409185172,0.028677209905473552,0.23458994223084137,0.20081961374094545,0.025711368842428365,0.9246193846881325,0.009376877450074171,0.2625584096945628,0.21173799466788065,0.7124931337442895,-0.005869745947681336,0.007701921361346304,0.0008168576485681925,0.005647908727993693,-0.02373947929447371,0.01417717895033208,-0.01024999729315421,-0.008436593702206353,0.0007064687717296975,0.0011257066419352744,0.0013768068967639178,-0.008166721624660561,-0.01660331532686695,0.00025110025482864146,0.0002511002548286414,0.022343900574992675,0.0005950204288805515
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.14908295429149532,0.024810968127943197,0.20159118698473374,0.1809003476965195,0.0222459365451305,0.8506491209832742,0.008751361395616128,0.2439467255850231,0.23492567668171307,0.5565362908679884,-0.00551425889820429,0.006664447778947183,0.001801132483938863,0.004268454010113106,-0.020570115979781464,0.012549157355326286,-0.009408503080924299,-0.00744848648459173,0.000577716740879447,0.0005724721398634445,0.0008235723946920827,-0.008007213945352754,-0.015455700429944498,0.000251100254828638,0.0002511002548286414,0.020556371300679055,0.0005553275958476782
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.18483883723768518,0.02815689237414578,0.2451107214440977,0.1979922733650299,0.02546971989382036,0.9375519453609237,0.008485198995444547,0.2699893083836755,0.17915077489402403,0.8269821942396779,-0.005266160400239107,0.007772312516925298,0.0018763010865428006,0.003928297271565366,-0.02324163649507294,0.013653189496364331,-0.011760485396619395,-0.008091291784757235,0.001008996902734819,0.001497155213951369,0.001748255468780019,-0.009003233025104529,-0.017094524809861806,0.000251100254828638,0.0002511002548286414,0.0226564225214689,0.0005384379578690602
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.14163932931397333,0.025504995921916195,0.1999000866293889,0.1843038954181855,0.022747960749355776,0.8515434843608485,0.009214783608018657,0.2420870972470506,0.2557243823345037,0.5253933784150006,-0.005820195229187167,0.006738490323369539,0.001140129971434323,0.005264799837433349,-0.021173214610115846,0.01297414644850301,-0.008773232949868173,-0.0077199164024948225,0.0004391433350643672,0.00047915175911800623,0.0007302520139466431,-0.007603837600857172,-0.015323754003351984,0.00025110025482864146,0.0002511002548286414,0.020577984049360166,0.0005847345796805049
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.1407435467155255,0.04337805770394952,0.21071373230296342,0.17253543189065454,0.031130206579637314,0.8516714564661404,0.008684420618898084,0.25370039533915395,0.40483853300618683,0.5615936229110037,-0.005285462329649302,0.004396727621931478,0.0022629446598439063,0.003573597462491252,-0.018177432431765218,0.011464403097802124,-0.008479039010053445,-0.006675875751906371,-0.0009258882897745383,3.715358205672037e-05,0.0002882538368853653,-0.009116673462942648,-0.015792549214848992,0.00025110025482864146,0.0002511002548286414,0.020581076560744746,0.0005510797926858547
1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.1639220183535319,0.019348433967792542,0.2199555845816007,0.19823381541258947,0.020730404061564525,0.9012625468233044,0.009230012071191805,0.2525784912470293,0.1556261164277424,0.6574827012199684,-0.005872171561987198,0.008357981122853386,0.0009453728072293032,0.005512499673898068,-0.02376770591801806,0.014137775383250728,-0.010378605068328405,-0.008462302094931762,0.0013181811210306168,0.0011676284398355705,0.0014187286946642091,-0.007641695252633585,-0.016103997347565333,0.0002511002548286449,0.0002511002548286414,0.021779470635884302,0.0005857009191401741
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.1905359147221781,0.03846472254573565,0.29499809755743844,0.30770998402856725,0.03647846063988549,0.8975003085122613,0.013904904091908322,0.34348955383570634,0.20350076412072526,0.9915893882996738,-0.008738185515382758,0.012191988825469954,0.0025467463723294744,0.007073790651228061,-0.03160230897336397,0.014107157882560034,-0.01128629989162824,-0.014124569938682437,8.322215796571514e-05,0.0033705811521214865,0.003621681406950135,-0.007581396326712397,-0.02170596626539483,0.0002511002548286345,0.0002511002548286414,0.02168855420927244,0.0008823515081747766
1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.1372840338877589,0.021408181263166483,0.17250539996384076,0.14396408495362073,0.01843660642809111,0.8294784604754036,0.006847879353076364,0.21263429405854758,0.2541826353052563,0.44471549102446994,-0.004293654405982547,0.005041746289524007,0.000959228638303147,0.0037689657444770625,-0.017808949403813584,0.012120554644969007,-0.008923408949508637,-0.005551114686625546,0.0006108118113224304,0.0001372800722190306,0.00038838032704767086,-0.007924216811138501,-0.013475331497764082,0.000251100254828638,0.0002511002548286414,0.020044771456107547,0.00043453997679766403
1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.1426026966852082,0.017559910135953878,0.10556175470400836,0.13172302440980033,0.014975072787222262,0.6129023853944013,0.007014610633311346,0.17474292008568212,0.3254116359727775,0.2858387629301368,-0.004478791831664279,0.003997685355066824,0.0007597044113084679,0.004164207520276436,-0.014563645507031084,0.009218949576232833,-0.005362143978109064,-0.005482414108566209,-0.00034338829882949546,-0.00013771817776795715,0.00011338207706068464,-0.005592150199877882,-0.011074564308444087,0.00025110025482864146,0.0002511002548286414,0.014811099776110708,0.00044512009992062334
1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.15835859354964518,0.03153414388839701,0.2896846378646414,0.21985450065806236,0.02891425313225117,1.02534729444163,0.009648869641134927,0.2930939605858522,0.19868891622851534,0.8341046160291372,-0.005989365997943824,0.009068639106210662,0.0017267641903938374,0.004874881810423991,-0.026134905791860296,0.015357384974936498,-0.012751030446588173,-0.009121273537722137,0.001423025829065172,0.001656247279201663,0.0019073475340303028,-0.0094206570834926,-0.018541930621214838,0.0002511002548286449,0.0002511002548286414,0.024778042058429196,0.0006122800028740054
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.10675859877203396,0.01524781859725157,0.109675875633374,0.14133126878747732,0.012215601253382048,0.6844145534427927,0.004099654853963087,0.16067003498500293,0.3665716516994622,0.2209247799032487,-0.0025462234134031206,0.0027351679162122104,0.0005163223996631642,0.0022900492776428928,-0.012666984348008033,0.009556327737536154,-0.007422944931013317,-0.0032141384032547586,0.000292426295591969,-0.00010348179278287916,0.00014761846204576316,-0.006982900173375578,-0.010197038576630346,0.0002511002548286432,0.0002511002548286414,0.01653922791091174,0.0002601482639029366
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.18603091014475703,0.034908764833259345,0.29172545482750417,0.21075543004856587,0.03282644993642718,0.9574068774207579,0.013011846421194634,0.3177268691479866,0.18521798153352123,0.9895718239024147,-0.008203948180884732,0.010803507163073822,0.0022229536134159645,0.00680667608877367,-0.028920344007931805,0.015040609769663359,-0.010946276582167224,-0.011993072858295808,0.0007128976022164517,0.0018866613799726347,0.002137761634801269,-0.00809561734514952,-0.020088690203445312,0.0002511002548286484,0.0002511002548286414,0.023136227114812856,0.0008256815213049022
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.15549608037195897,0.026200089189456568,0.21691412709855942,0.18854123166121514,0.023221590882467447,0.88379091597269,0.008903395263604341,0.25311667169257995,0.22202565776974986,0.6214267080050001,-0.005597912462771122,0.006785391285615143,0.0013584135292752301,0.0048044740114415955,-0.02170745614454984,0.013114060740985084,-0.009681778072525987,-0.007786179138527961,0.0003802625578072298,0.0008072162650367915,0.0010583165198654286,-0.008243198994853318,-0.01602937813338128,0.00025110025482864146,0.0002511002548286414,0.02135725973583841,0.0005649750779457026
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.15759055170580372,0.026801519941563656,0.2165172760908718,0.19112275798817743,0.024239408256620413,0.8859231927510086,0.009168767892732316,0.25234490369362206,0.22434257450449493,0.6289581747400577,-0.005758050158812388,0.007394171877334887,0.001411323402953777,0.004928541355962679,-0.02220355467339064,0.013418232329832526,-0.009877776938828391,-0.007979050978703639,0.0008298503536680272,0.0008062713648544744,0.0010573716196831152,-0.007990554965477209,-0.01596960594418088,0.00025110025482864146,0.0002511002548286414,0.021408787295309775,0.000581814600104067
