E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,B1,B5,B8,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.05262752166668613,0.49258485418662035,0.03874059771881435,0.0031983347925310618,0.060110396448234314,0.044189550354009774,0.04255646013991635,0.11656134196011587,0.15008719306730317,0.046784580791200646,0.0024239951797786455,0.006137288553179187,0.0037132933734005426,-0.0034816260489733313,-0.003481626048973332,0.0003948221894675471,0.011417038447650301,-0.0034816260489733304,0.0007990158175055862,0.0018566466867002709,0.0016249793622730593,0.014898664496623634,0.005733094925141147,0.002019801551740606,0.014898664496623632
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.11088588061703668,0.04204833148108413,0.47497015953023997,0.046216413498132713,0.04701477389779666,0.03753644884204465,0.04152624746698892,0.14693376649017706,0.05939146494379327,0.0040036802793277735,0.0015994989773765159,0.005410662484496559,0.003811163507120045,-0.0032923894565401197,-0.0032923894565401197,0.0005351237150410075,0.01129324470333606,-0.0032923894565401205,0.0002126912743964178,0.00190558175356002,0.0013868077029800985,0.01458563415987618,0.005733094925141147,0.0019219314180211038,0.014585634159876182
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.11999547338774084,0.04546531129854525,0.5030044769314821,0.04712310089842726,0.05606748447745069,0.03946341734267338,0.04317791666222541,0.1519831737504478,0.060526664923792946,0.002710402296348588,0.0029281169849154558,0.006583098293251299,0.0036549813083358376,-0.0035962974754941614,-0.00359629747549416,0.0003093067954790668,0.01149057481896326,-0.003596297475494159,0.0011593101635892175,0.0018274906541679188,0.001768806821326238,0.015086872294457418,0.005733094925141147,0.002078113616805301,0.01508687229445742
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.12768452745881892,0.0571824976315714,0.6315501565156887,0.05023222819287092,0.0968851175767809,0.042499361971028604,0.046726198603893175,0.16159038673226434,0.06604673672987128,0.004311072455869991,0.002993423361217653,0.0061128393391089615,0.0031194159778913134,-0.003812082761534944,-0.003812082761534947,0.00036130417466054623,0.012228466126106657,-0.0038120827615349463,0.0007410485886283611,0.0015597079889456541,0.0022523747725892913,0.0160405488876416,0.005733094925141147,0.002613678947249838,0.016040548887641608
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.11248248692348425,0.03898420352368847,0.43640008365050703,0.04540335449273148,0.03783128596194353,0.037299198501524244,0.04095360496552747,0.14559026982185871,0.05772942889631518,0.002812096590101158,0.0022072656156100403,0.006158483283804342,0.003951217668194302,-0.0033622706085109887,-0.003362270608510987,0.0003952154825330092,0.011089999033683611,-0.003362270608510987,0.000820603841196205,0.0019756088340971522,0.0013866617744138353,0.014452269642194596,0.005733094925141147,0.001781877256946847,0.014452269642194596
1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.11984346656730471,0.04792468342059605,0.5324146285029591,0.04777568939318635,0.05309195237602148,0.03983147804165041,0.043750980865773954,0.1534258702192099,0.0618030634588676,0.0034422415018916337,0.0026248365806499784,0.006167405710345606,0.0035425691296956264,-0.00357966064164051,-0.0035796606416405104,0.00038214971865282304,0.011650423410058014,-0.00357966064164051,0.0008164605038572816,0.0017712845648478145,0.0018083760767926965,0.015230084051698525,0.005733094925141147,0.0021905257954455194,0.015230084051698525
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.11537064172597823,0.04279470864146088,0.47766315602082626,0.046414462887749634,0.05247234949098166,0.038338877878510015,0.04211614029892481,0.14885098350262002,0.05947701343355475,0.0031100767418827968,0.002351181696018064,0.006128230039380265,0.003777048343362198,-0.003446233155640131,-0.0034462331556401314,0.00039833759781991544,0.011329716862983528,-0.003446233155640131,0.0007934727120590332,0.0018885241716811003,0.0015577089839590302,0.014775950018623658,0.005733094925141147,0.0019560465817789474,0.01477595001862366
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.12721848592307838,0.04491631027959191,0.5021050211392327,0.04697742479460885,0.055053224317682836,0.05419949015091306,0.04266890575162911,0.150317126578995,0.05515162298980757,0.003557006301286532,0.002683708846714882,0.00636378371452589,0.0036800748678110055,-0.0034555677890184665,-0.0034555677890184683,0.000437489702217176,0.011465921454855213,-0.003455567789018467,0.0010681784916019195,0.001840037433905505,0.0016155303551129623,0.014921489243873681,0.005733094925141147,0.0020530200573301385,0.014921489243873678
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.1130020413151602,0.04395331727980797,0.48950726547237067,0.04672189691147239,0.05185005235122707,0.033600594558221744,0.04251879956284761,0.1500084267016,0.06197039123505271,0.0030851981771820836,0.002342134440188909,0.0060662254778793764,0.0037240910376904746,-0.00348966444473537,-0.00348966444473537,0.0003813849615605415,0.011401181172527246,-0.003489664444735372,0.0007145155142987715,0.001862045518845236,0.0016276189258901369,0.01489084561726262,0.005733094925141147,0.0020090038874506807,0.01489084561726262
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.12464969594968033,0.044738532304158425,0.49976910860386703,0.04693025183515744,0.054455137710092756,0.05046378636559172,0.042641866287872095,0.15026257240073043,0.09352409521225642,0.0034678151844790223,0.002619109885205484,0.006307310570721568,0.0036882006855160875,-0.0034621235046083856,-0.0034621235046083864,0.00042687107777471776,0.011453950324517091,-0.0034621235046083864,0.0010010867233551397,0.0018441003427580424,0.0016180231618503449,0.014916073829125475,0.005733094925141147,0.0020448942396250644,0.014916073829125475
