E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,B1,B7,B9,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19,flux_20,flux_21,flux_22
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.11209001973037769,0.21604032399317535,0.4856444575638161,3.2542063764992744,0.22410019748580856,0.5000081646608117,0.37305753932747965,0.053805967834471606,0.36856751627444007,0.010734147537462086,-0.01667253689379531,-0.10281422214408231,-0.04802058706863052,0.03820170785207257,0.03025283974679366,0.02661425823814656,-0.004949095407600241,0.04965894969066567,-0.03914372330478505,-0.02459380009293819,0.08298933135741289,-0.00018856211936919137,-0.012514980114832416,-0.05505443084719938,0.009003057357580103,-0.05947782890722362,0.023870886909535455,-0.07801263104367662,0.030757122896266063,0.00013121814583103453,0.0001312181458310352,0.0037852003511184506,0.03075712289626606
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.22047450251316572,0.47793020092781346,0.10745960866661007,0.3758124311295716,0.2105694547684353,0.48788770525555997,0.3645651249259469,3.24799996845002,0.010566886968608205,0.054203304985083876,-0.008714337547835285,-0.10309622203090021,-0.046407505911095895,0.03847856705407028,0.026548659099087907,0.022178406633262593,-0.005470891714875949,0.049244530610816836,-0.03992228603941042,-0.023484006198185657,0.07949211047183956,-0.0001870849931802799,-0.012727396085525942,-0.05278390167765648,0.008620276050587062,-0.05717346946784246,0.023388643436118906,-0.07686097945233161,0.03098425286092408,0.00013121814583103453,0.0001312181458310352,0.003689346319206042,0.03098425286092408
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.22736874849833555,0.49264779981315515,0.11630148218542445,0.3704822730049953,0.22098782130063932,0.5109596223601345,0.3720659385442953,3.2592261259969657,0.010885994055380096,0.053434538008492,-0.023968910979851578,-0.10253590171073954,-0.04948837015063577,0.037935079909165045,0.0336304277874066,0.030675647401814055,-0.004452480275892146,0.050014830015180756,-0.03843312779520902,-0.025603667289118597,0.08617205383316447,-0.0001904328296878999,-0.01231915789593073,-0.05711665175336525,0.009356936954797352,-0.061568120256651475,0.02430485255665367,-0.0790496777447809,0.030544802344015458,0.00013121814583103453,0.0001312181458310352,0.003871884485817128,0.030544802344015458
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.17580205069518415,0.39393827552964555,0.08245132569293158,0.30486799586505736,0.1846474163435054,0.41564690779789987,0.3320117686658101,3.8148167087091567,0.008745773427263773,0.04397101210940944,-0.014686251796616874,-0.06675846419639361,-0.03977650805242456,0.027487595834101194,0.03002538192159629,0.020545451624333355,-0.006035168978586967,0.03148570414991678,-0.02251107904928168,-0.01790817030735516,0.061155792214467354,-0.0002906011895960339,-0.010394123936423081,-0.03590351828387614,0.002962391883892754,-0.04377461636824012,0.017759405465117534,-0.06088032783411375,0.025135163955843948,0.00013121814583103453,0.0001312181458310352,0.0032351713432841847,0.02513516395584395
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.2546758204541671,0.5411820610311514,0.13212248880430458,0.414276183821056,0.2344473408414295,0.5494118916653701,0.3908092104075562,2.953974043090755,0.011938314262402862,0.059750919553715746,-0.0176277001599923,-0.12850125198539425,-0.05279430727466757,0.0453925512176495,0.028708724851026296,0.030325237359014573,-0.0036490800249276145,0.06251901460850802,-0.05107493766841542,-0.02914700783982501,0.09774251568746416,-9.624548685955355e-05,-0.01376560069655181,-0.06828105986067448,0.013928585669770795,-0.06992077066552606,0.027440557548613978,-0.08892891697574606,0.03415543758142661,0.00013121814583103453,0.0001312181458310352,0.004107706100736083,0.03415543758142661
1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.26793650866849605,0.5474677027155672,0.11749909528620352,0.39936469849135836,0.2851138367087544,0.6322665386832987,0.3252797282819159,3.913290060789215,0.012074599591418291,0.05760024086361266,-0.01813763675574187,-0.1238693765537666,-0.037687193713756,0.03332992926573147,0.0376342012628291,0.03979543310107178,-0.004300558476411434,0.06188122365008042,-0.03473352794660958,-0.025230442500999338,0.08590994423626545,0.00013976545856109884,-0.012760472509326364,-0.06849711431438654,0.014839988090150495,-0.06623848809810497,0.025269787677895686,-0.09300646350220913,0.032926044422188556,0.00013121814583103453,0.0001312181458310352,0.004995423886018602,0.032926044422188556
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.20239297591460237,0.45314557176937864,0.10900377656404407,0.3584292882537224,0.1841259771061471,0.4374775414045336,0.39398698290676337,2.928785734652719,0.010029506457759596,0.05169613992918906,-0.015866963022543194,-0.09242774415946967,-0.052467888946069186,0.04029227482902495,0.026513296789450552,0.020054748952223728,-0.0051202952727046926,0.04348005451567381,-0.040290067599982465,-0.024175499757130348,0.08116118924782431,-0.0003303967604144538,-0.012317839377387323,-0.048370588278787804,0.006635332255791099,-0.05565566863271808,0.02290332328521076,-0.0705704526701324,0.02955108128444373,0.0001312181458310354,0.0001312181458310352,0.00322603530817808,0.029551081284443725
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.21179163913063823,0.49566264784537606,0.10581989210775061,0.37059974491586756,0.20811982959960104,0.46122642352601995,0.41169442664747813,3.1275867530885715,0.010951362012484847,0.05345148094407571,-0.017204235727346133,-0.09935024906916808,-0.04204169280541019,0.030366177501022815,0.025531110829419307,0.031857203415940144,-0.005601005431208613,0.04972839334025552,-0.04095844221208886,-0.023214278366359697,0.07830859348295127,-0.0005821484126900993,-0.01267868039136221,-0.050998795879434636,0.007691672288564971,-0.061403908644642895,0.01837832211663884,-0.07388256401915272,0.030554487439927575,0.00013121814583103453,0.0001312181458310352,0.0036464269147452543,0.03055448743992757
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.23025927934926582,0.48086575136164295,0.11508961646857879,0.3742696493996074,0.22006261126400353,0.519615274312277,0.34904688281431223,3.3179505122555977,0.010630535594604138,0.0539807900768268,-0.016421063255983505,-0.10456368385924167,-0.05087956277832047,0.04202566905880918,0.032643278331231956,0.02409498860715928,-0.004593119340065354,0.04960918953711582,-0.03816521558035979,-0.02524924561550935,0.08522454930117111,5.805203206878627e-06,-0.012432228523697911,-0.05712974059741928,0.009701898140881257,-0.058463083256627135,0.026640428135911262,-0.0800772215930544,0.03085705659153314,0.00013121814583103627,0.0001312181458310352,0.003855674061342656,0.030857056591533146
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.23275216673112173,0.4990413761901054,0.12136771887704054,0.38799505056003614,0.2292675432067205,0.509471628529554,0.3860846636224084,3.4543485433892265,0.01102461962518919,0.05596040023209823,-0.016784645326295797,-0.10990452268925985,-0.05133669209751224,0.0405650273683482,0.025665469435458402,0.025200413923000375,-0.004335658723809135,0.053199781508229856,-0.0441017787514742,-0.0267943184546942,0.08979606272516591,-0.00013691451149932914,-0.013023388025083765,-0.05499947292785293,0.010425593504194239,-0.06397144623739388,0.020557054177542083,-0.08057051919686534,0.03198866178855686,0.0001312181458310354,0.0001312181458310352,0.004016951877342849,0.03198866178855686
