E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,B1,B3,B8,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19,flux_20,flux_21,flux_22,flux_23,flux_24,flux_25,flux_26,flux_27,flux_28,flux_29,flux_30,flux_31,flux_32
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.46733421322341845,0.45274751121635387,1.2407706737902562,1.0612103988665778,0.6001088296380718,0.6755484924745747,1.0529357594468192,1.534253222412291,0.6572848226312041,0.9584906246131437,0.4380392174273888,0.02854955461596699,0.018478048277378673,-0.16599442877906032,-0.06952362978838662,0.00682134750378989,-0.011407398926491393,-0.09123752029482612,-0.07170528040460579,-0.09410325479319274,-0.12760535581400725,0.009708274155157716,-0.1979893865379257,-0.012274606777103757,-0.011620657849465262,-0.24134027705405,-0.08201177198455385,0.29042364863856607,0.04918160861317934,-0.24560759962775708,0.23701329254287418,-0.4436547308766958,0.007655026570353496,0.5171889622768604,0.2149672091656587,-0.044300778640167376,-0.15422519574167598,0.4037520560571184,-0.392533369932953,0.2767435725186463,0.018520908018853886,0.019631292943923545,0.2767435725186463
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.7743113079523555,1.0302348528261012,0.7662206779018145,0.5952010141868677,0.4728569029546511,1.209427266853805,0.5951769809463551,1.4141241855948692,2.012087558891773,1.2260219186176968,0.3018861261929134,0.019155759522844235,0.03636132427118043,-0.21812728053877883,-0.08244397365411399,0.012669536429211394,-0.0016337421766892922,-0.10766758672460594,-0.08161631208871933,-0.11089258642112551,-0.12858761094056326,0.009728661226523345,-0.25538542903272704,-0.020832474008665607,-0.010930710956039761,-0.3139134567429903,-0.10520618298252196,0.3256378221866647,0.06744011870975947,-0.19269597142366668,0.26523676379906386,-0.5190409960451469,0.003079631036046318,0.6021001212660068,0.3031267871759502,-0.04453117235357443,-0.15705656885279426,0.34773231278627553,-0.49266846909435025,0.3197232953114588,0.018520908018853886,0.02050324331440163,0.31972329531145866
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.500316562020135,0.9188417710321943,0.5947338623866114,0.39880776416894637,0.4391800217539616,0.9582245950996277,0.7263171392910888,1.139068471444487,1.2855062346894524,0.9752303737657516,0.5136585431439351,0.031309654190548174,0.009268788903013532,-0.13886219756426998,-0.0621983934177417,0.0033500132456764087,-0.016862085058325073,-0.08145376630083637,-0.06592388805088872,-0.0840250875782894,-0.1262994518957568,0.009571212017762442,-0.16751470564399354,-0.008116710896741854,-0.011886358200601129,-0.19824214002543813,-0.0683171758756583,0.2667233681535708,0.03872932273450817,-0.2767903295529027,0.21765946981158488,-0.40043624537772426,0.009768296020941945,0.4684304498799404,0.1661759076993351,-0.044102428895901456,-0.15148540136214608,0.43889461319809503,-0.33768655739881165,0.25432161044865953,0.018520908018853886,0.019043001780412093,0.25432161044865964
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.5968323187537967,0.9614974245519222,0.6634348195213479,0.4732086676495695,0.45731547216551843,1.0590411021871784,0.6718143565084271,1.2416683281832086,1.599265980125289,1.0678789090200398,0.43565396563051323,0.016257674436277916,0.019290137788608094,-0.17325038506894563,-0.07063787403503397,0.007131805731939299,-0.011050721489216011,-0.09116648816365519,-0.07169607957711789,-0.09453346860606786,-0.12892111992447108,0.009900070600735927,-0.20683326874196817,-0.012710607317032767,-0.011724849167687526,-0.23730254920895455,-0.0811739722165231,0.29045458674490077,0.048439397541144576,-0.24922312823729975,0.238697534028903,-0.4477946477782395,0.008115689048848428,0.5221239817009028,0.21624153200443957,-0.04429330819003084,-0.15571118333333486,0.4011633587999247,-0.3963413282471917,0.2784825936639368,0.018520908018853886,0.019829361353638376,0.2784825936639369
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.6026900032252522,0.9561558542475589,0.6524848730626673,0.46276975432191914,0.44919022842152356,1.0481706746435586,0.6784885969426693,1.2400924072297388,1.483437273082581,1.056046728286508,0.4399184940031552,0.03816619653784905,0.01784838932176081,-0.16032244969335047,-0.06865301752766953,0.0065784110298994225,-0.011686414353296717,-0.09129491437029781,-0.07171396870120891,-0.09376701246801523,-0.1265813358405434,0.009558818121424352,-0.19107678907132922,-0.011936672370755748,-0.011539403814573933,-0.24450068059796928,-0.08266945119054045,0.29039951145425846,0.04976412449356662,-0.24277976372646115,0.23569482098152944,-0.44042334084724444,0.007293577169009392,0.5133370204298242,0.21396679318709036,-0.0443066778863721,-0.15306695445357868,0.40578888571630944,-0.3895654353025288,0.2753969850319444,0.018520908018853886,0.01947704789804899,0.2753969850319442
1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.6052533765757484,0.9616868731703457,0.6711838538713926,0.47098396152278804,0.46078200228948063,1.0797686524878727,0.6834787404570897,1.2525595540946632,1.5465949605357125,1.0682997694606093,0.44149593505520435,0.02830448529402852,0.010638934695408008,-0.1672069067051795,-0.07161929281931691,0.007121470067694365,-0.01118196865324897,-0.09245452489875836,-0.07219421891016538,-0.09670952914434251,-0.1297385358936384,0.010075087163119476,-0.1994739810508992,-0.011635215175553867,-0.011879167612315718,-0.24352431602498156,-0.08184748233635789,0.29983994786198664,0.049201252817910886,-0.24469314669368186,0.24151149527965995,-0.45308834548210825,0.008167933389198606,0.5282068499363979,0.22108189542377965,-0.04437903500416956,-0.15704351720215365,0.40883790322457075,-0.3949853730501072,0.27859234609566924,0.018520908018853886,0.01997967133144392,0.2785923460956692
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.5960592823522752,0.9559260569122575,0.6464592129120517,0.4644496609275789,0.4464665725047162,1.032070004314176,0.6693507775402929,1.2314766026771242,1.52449370288999,1.0555391801482306,0.43531202660619617,0.02873477415555175,0.024524086821619998,-0.16503330653461745,-0.06789621890166708,0.006588105630274399,-0.01157847481313487,-0.09028071222394943,-0.07131651365517844,-0.0920785384032062,-0.125935403476154,0.00942244741708089,-0.19681375019387937,-0.012766455824120164,-0.01141892190602354,-0.23962486128917954,-0.08212253216432588,0.2831137042174005,0.04916054917438783,-0.246298162563501,0.23351082779860216,-0.43630790302904354,0.007258157011766145,0.5086078627359921,0.2102275115821527,-0.04423653028843448,-0.1520232078410202,0.3997801841951202,-0.39058183088404863,0.2752646260907362,0.018520908018853886,0.019358949209818427,0.27526462609073626
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.6556682229358037,0.9647899474572856,0.6752143733817624,0.5219496170975055,0.45481226643763145,1.1278037182238996,0.707148285430569,1.2911207114626864,2.078472275906809,1.0752050562308098,0.48291153262870234,0.047005819697052385,0.024455770995502064,-0.11363022184673895,-0.0707056195489211,0.006684333057508596,-0.011523757126876342,-0.09687082443322197,-0.07424769316273905,-0.10258448742829385,-0.1273099164075589,0.009725395226537412,-0.26994717063115214,-0.015612800192954905,-0.01108266257131325,-0.2600206084879061,-0.08888914092016353,0.33143395723685615,0.05582272657636078,-0.21875755806056674,0.2797245813847944,-0.4561045003393605,0.011456450211554309,0.5308744754468959,0.2374032851311411,-0.042879695306680524,-0.1534469069671951,0.424294362094127,-0.43058321217494344,0.28039311409803763,0.018520908018853886,0.01972082146390875,0.2803931140980376
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.5668174869039387,0.9531510793370467,0.6456092558473174,0.4348254873895621,0.45090190558889415,1.0080803756597851,0.6550552731991421,1.2090412661915415,1.2185945205808926,1.0494197819698885,0.41136906757913827,0.017611815104405903,0.014999624154119665,-0.1957272690072919,-0.06870812142639998,0.0069085026239539965,-0.01129726430716621,-0.08776869262524298,-0.07007654115150168,-0.08905808216136013,-0.1276137807319366,0.009688869664863542,-0.1561677196061121,-0.010299139931459818,-0.011917895613867312,-0.23007692771749813,-0.07783984804317848,0.2665130753507543,0.04524757080380179,-0.26075486156927863,0.21235525254009413,-0.4355644863413981,0.005520388261708944,0.5082459373917427,0.2013791228940373,-0.04504740874372862,-0.15447163276986664,0.3904837879881603,-0.36950680371780986,0.2736688029482689,0.018520908018853886,0.01955126682818687,0.27366880294826895
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.6041313787419977,0.9577104078164518,0.6770220739029548,0.47092843875556967,0.462830619944101,1.0657583392590548,0.6814635671393529,1.1101184293280018,1.545069225113692,1.059483439480692,0.4407818981432238,0.028419598848369004,0.021173215279496525,-0.1669999266458288,-0.03944023917716524,0.0073786694534926575,-0.013146822984640809,-0.07569769316342768,-0.06274092267226535,-0.09497772201328611,-0.13014764131178894,0.010236093499118856,-0.19929006800713284,-0.012182347685559057,-0.01195618606538203,-0.24280895550987333,-0.08585155367388696,0.28566764252440396,0.04876555773668205,-0.24291998199681042,0.24104375578547532,-0.45709571808947014,0.008102841479567136,0.5328702507239048,0.221814374840487,-0.04413268460436984,-0.15785064426517412,0.4076815221875202,-0.3947095935013307,0.2762932142196928,0.018520908018853886,0.020068500120805317,0.2762932142196929
