E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,B0,B1,B7,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19,flux_20,flux_21
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.0602556432375702,0.600993998437726,0.17440711096089578,0.258431833479966,0.058349822493428016,0.6985092334754848,0.016170933545526223,0.13140721661872937,0.045795304055861276,0.2542577669181745,0.0010126031600528739,0.0054941926700323145,0.006478919765002649,0.0024946910623593493,0.032368353869979515,-0.008573595521359549,-0.04078038097343677,-0.018259281989671958,-0.0006255304021401734,-0.005601530328395669,-0.0034031953040415223,-0.012679802527892938,0.004454153095270355,-0.02657737905859902,0.018536870281121526,0.007927804113380168,-0.0434065218391293,0.0027776649019013505,0.005629406393478212,0.008579611466461246,0.005629406393478212,0.0637569364530664
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.5982282495146045,0.13082288932873834,0.17311812070486962,0.05735302747623043,0.25203818624404595,0.2561848377855286,0.016385983308005912,0.6951216242688313,0.045639272646742904,0.058950903100279464,0.0005308616720815865,0.005497408100545444,0.006354156831881345,0.0024542820536872195,0.03212131385166936,-0.008522770683988377,-0.040475843052780194,-0.018193776261642695,-0.0006248766790178733,-0.005833397609023192,-0.003384345246031093,-0.012597360862487219,0.004612793456570817,-0.02644556181902294,0.018382192012943388,0.00783246077134296,-0.04322842527202953,0.0027594685670132204,0.005507510549768879,0.008579611466461246,0.005507510549768879,0.06347342905633155
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.6034797490532537,0.1319298050054223,0.17556757460137384,0.0592529393285191,0.2562580274694323,0.2604576905971468,0.01597371736433217,0.7015402741999441,0.04593472321328169,0.06144272956571933,0.0014516669405289814,0.005490371818856316,0.00659159759885013,0.00253126791722884,0.03259083146103893,-0.00861950287182584,-0.04105514785509044,-0.018317848786526633,-0.0006261094102602836,-0.00538986922477242,-0.0034200635603093012,-0.012753884183924001,0.004309234623753279,-0.02669533459795703,0.01867696938694255,0.00801409434164357,-0.04356650067213953,0.002793954150049016,0.005740310385307589,0.008579611466461246,0.005740310385307589,0.06401048900077898
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.5701387015552074,0.1203393988828526,0.15724037734662363,0.0470555572417426,0.23201621380686444,0.23876881200542208,0.014458250843016544,0.663288594195341,0.04343051829886649,0.04631862357795834,0.0010082180156326466,0.0028586853827993414,0.005001856535650112,0.0020678554812249995,0.029144660252529764,-0.008263577691371536,-0.03807332354265787,-0.015893988249538,-0.0006395468815741634,-0.0054622881667160846,-0.0030000378067984376,-0.011479951004898306,0.0038609269902478045,-0.025482410821788384,0.01924533423869479,0.007114337500276551,-0.041543720088240046,0.002360490925224272,0.004327335029497959,0.008579611466461246,0.004327335029497957,0.058386986687614634
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.6244183529844448,0.1400995566517122,0.1880409152349451,0.06781421987624546,0.2713642414576579,0.2732672627709939,0.01754713741408126,0.7237087163058584,0.047547581639544895,0.0723393037694083,0.0010083024049348437,0.0077584598459894405,0.007687315412101485,0.0028538974845330866,0.03493058233998164,-0.00877268846190404,-0.042849125242691716,-0.020251566129993723,-0.0006098311323020514,-0.0056788801370206525,-0.0037280183825573764,-0.013631725318959648,0.00493940340448163,-0.02731810980494422,0.01776414118512956,0.00857417624701318,-0.044793922283830924,0.0031181872502553257,0.006758326975843447,0.008579611466461246,0.006758326975843447,0.06797433779046252
1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.5671627952336544,0.12067597442795516,0.15699850378851057,0.060346696280430566,0.2244720397389345,0.22917006205034984,0.015182271112071277,0.6383072922939748,0.04292400438200849,0.05715773926982438,0.0008387848210524196,0.004728060963034551,0.004991961785300984,0.001985584883674409,0.029089289806491933,-0.007915116462983138,-0.037509077606692434,-0.01733561070191371,-0.0006132670789077716,-0.0047650995379209206,-0.003057461716779326,-0.01153583986533201,0.004296816987684205,-0.024253977607002396,0.01716709000315214,0.006939616675212019,-0.041301100950190114,0.0024441946378715553,0.00533998353670691,0.008579611466461246,0.00533998353670691,0.05855028841633948
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.6157716249642045,0.13620116137029703,0.18233147406123865,0.05747527155757193,0.2679261408608015,0.2718196028914509,0.016623793199412998,0.7253525137234105,0.04705397222673856,0.06153196597503972,0.0010914141915435286,0.0058505941606280965,0.007174459003834562,0.002743243737361879,0.03386281349598655,-0.008860670660931633,-0.04222217442846589,-0.01865730334307235,-0.0006299351052112025,-0.005981097982460902,-0.003559519719509968,-0.013193994704318535,0.0045314022242890824,-0.027612856436736277,0.01913365581892082,0.008377137606032124,-0.044311920772882665,0.002929584614298767,0.005748647330797965,0.008579611466461246,0.005748647330797965,0.06608289113614922
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.6061847874991492,0.1344658356261445,0.17664653863804722,0.05847111260827655,0.2600774096574668,0.2641411592371904,0.015572129847432021,0.7105792150347623,0.046597160257205526,0.06135971336353303,0.0009292116903191505,0.005638850100469302,0.006027036119069577,0.0013176838427017875,0.03275626806642229,-0.008754449937045536,-0.04148014705501281,-0.017972580305246157,-0.0006282872354807579,-0.005191528893316293,-0.003503026322992168,-0.01280787554931121,0.00395139319611188,-0.026993142552932115,0.018798214473398855,0.008122057281833074,-0.04374878041960771,0.0028747390875114107,0.005732554565035164,0.008579611466461246,0.005732554565035164,0.06524093545028824
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.59623484623603,0.12863188341972115,0.17236635922406637,0.05824604598671449,0.24898678280337175,0.2532602893455911,0.016709683565794838,0.6874933634262763,0.04506334415471878,0.05925645902345557,0.0010875237576018202,0.005362903637416001,0.006884308227092932,0.003554693586244501,0.03201461329186168,-0.008410259880182245,-0.04014335051547879,-0.01851394831092877,-0.0006228335492650988,-0.0059699380602141906,-0.003312951786239243,-0.012562313083961201,0.004907491648610734,-0.02619703340715745,0.018299787563701625,0.007751494006684368,-0.04309216881555835,0.0026901182369741435,0.005536057228139083,0.008579611466461246,0.005536057228139084,0.06241038375255031
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.735698689416733,0.13812737946500914,0.2534774820254891,0.08670108324542118,0.3571579332414832,0.3621439431612846,0.020232729694420453,0.8373824786352695,0.0481377782191177,0.10708580731310835,0.0009915114661836512,0.00522932433798383,0.0020090585256652763,0.003748610690282099,0.02405542805180633,-0.009729191457774717,-0.05266595640596279,-0.029061055811766087,-0.0006575425023779113,-0.005792755010073807,-0.0035771953736516257,-0.017924932767748928,0.00669353567179936,-0.032932232659612065,0.025344452758813585,0.012447814001227006,-0.051355219766445234,0.0029196528712737146,0.010004532288576016,0.008579611466461246,0.010004532288576016,0.06701746511023796
