E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,B0,B1,B8,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.36479603176794434,1.8063970029264336,0.5156932854060401,0.2555014085538698,0.9035173519849381,1.246953990396943,4.864393099054737,1.307358021137936,4.253343585167597,0.6486908634071721,0.08956546028725682,-0.05901097830893995,-0.03428360234303455,0.16875411737188373,0.01717829580028143,0.07053258217690059,-0.056580023325394385,-0.12954356048584054,0.16777582401688185,0.05782335688195328,0.03160446812596202,0.33128311481958683,0.10995246713492862,0.0011876214269866976,0.031604468125962,0.2969995124765522,0.05744925236256086,0.5734844700718037,0.16447563999616982,0.05744925236256087
0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.8327627870614431,0.3630397218146129,0.9038802410131996,0.5160745983630858,1.288783362814462,0.2564159550370669,4.786346399097767,4.232865868791773,1.2361657703206734,0.6489514038345882,0.08232960658895226,-0.05945460727214592,-0.03188388421195749,0.17051971360396143,0.017740469143072334,0.0717275487025257,-0.05566800682034202,-0.13118215597467162,0.16897502892588268,0.05830658986779469,0.031617161755714586,0.32836346934724314,0.11066843905808794,0.0011480174043512195,0.0316171617557146,0.29647958513528583,0.05717266302247512,0.5734844700718037,0.16368377227194564,0.057172663022475124
1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.7812709810928855,0.3665197329989402,0.9032624594269544,0.515337761936902,1.325441940706119,0.2546312454202007,4.940686862467046,4.273441099765193,1.2575023662524587,0.6485078603102737,0.09651106916089569,-0.058581562730219805,-0.03658336684160497,0.16704365572968027,0.016642214210073454,0.06939263154405209,-0.05746511267036873,-0.1279741942742719,0.16662484918711823,0.05735539031283779,0.03159555214476182,0.3340638064944792,0.10926945887428038,0.0012261724173819816,0.03159555214476182,0.2974804396528742,0.05772070637629345,0.5734844700718037,0.1652528054213424,0.05772070637629346
1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.8007854779995256,0.3656086030238554,0.8935001374880104,0.5085451692118999,1.2967388878965007,0.2631048754784829,4.832150847063528,4.262817769198795,1.2595257903855333,0.6414988869535143,0.08939251845564163,-0.0573788838138105,-0.03298932093655874,0.16578503796421873,0.017366659942863648,0.07040651761068796,-0.055824775866661895,-0.12778540142449846,0.16814855489458969,0.056393138312587854,0.03125407226960844,0.32713818197769706,0.1117554165820018,0.0009857455012225944,0.03125407226960845,0.29414886104113824,0.05757721869738408,0.5734844700718037,0.1648420041167189,0.05757721869738409
1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.811423206502278,0.36407561049737586,0.9122566075929976,0.5219818639323792,1.3166287816909261,0.2489880667312007,4.892386630167884,4.244943824964776,1.2359631592850786,0.654965314311157,0.08972422804241256,-0.060428385330091275,-0.0354231030401516,0.17137217460957352,0.017014545393220767,0.07064850513729636,-0.057240599828961125,-0.13107689046738763,0.16743380732891622,0.05906666733262542,0.031910161784974515,0.33493269329041253,0.10836713999629079,0.0013617179974658314,0.03191016178497451,0.29950959025026097,0.057335798103808025,0.5734844700718037,0.1641508235529392,0.05733579810380802
1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.7888106965027657,0.36565818051111343,0.9009740837826589,0.5186352360592811,1.314683157475924,0.25411448755715704,4.91010821157689,4.263395818489452,1.2544181863310055,0.6468648942186579,0.08837152454587723,-0.058499525823124524,-0.03262565677626308,0.16972801283116562,0.01666400879631125,0.0697652192826329,-0.05691750132510255,-0.12826474510575747,0.16711390661807382,0.05724098443544062,0.031515506205465275,0.32944678115769765,0.10987292218263323,0.0012585413876839199,0.031515506205465275,0.29682112438143465,0.05758502631953172,0.5734844700718037,0.16486435712562275,0.0575850263195317
1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.8222785538590576,0.36403343862876447,0.9058446326427272,0.513063964195659,1.3008801258396692,0.25675296652980006,4.823835380186706,4.244452121571063,1.2403068297723396,0.6503617618088191,0.09064145772076153,-0.059469904016808114,-0.03577495857413608,0.16787793470087914,0.01764153333148479,0.07122516538739854,-0.0562813809155911,-0.1306950694042067,0.16836810844431074,0.05834562503426449,0.0316858749381366,0.3329330809102562,0.11002248341004621,0.0011242789825435745,0.0316858749381366,0.29715812233612016,0.05732915674230017,0.5734844700718037,0.1641318095163847,0.05732915674230017
1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.821636267206647,0.3643102277453905,0.8969510275151301,0.531074350187496,1.2822487679972443,0.25365576034918935,4.760829900571008,4.247679347503157,1.2486971508794107,0.6439764938597875,0.09090128736738025,-0.058587913917435785,-0.034175427668338025,0.1612528505229297,0.016842450726120693,0.07131070335993707,-0.05510456977003038,-0.12989861727737284,0.17000812622572728,0.057204554939497804,0.031374782230107486,0.32694818539765247,0.11280357128622948,0.0013833589779379714,0.03137478223010749,0.29277275772931444,0.05737274638261587,0.5734844700718037,0.16425660546573634,0.05737274638261587
1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.7925758407190366,0.3652751830311911,0.9094668282302971,0.5021061262141563,1.3301254899521389,0.2571721296604695,4.9587863995917205,4.258930254907336,1.2455775051924518,0.6529623595482741,0.08835402352736482,-0.05939350059690311,-0.03435460750013335,0.1754543214377812,0.017467084259042465,0.06982694470830347,-0.05791281214346035,-0.1292204453052066,0.16578426195060067,0.05837911829980846,0.03181257705928746,0.33511597812689253,0.10740514365079223,0.0010143822970946417,0.03181257705928746,0.30076137062675895,0.05752471064457315,0.5734844700718037,0.1646916749960451,0.05752471064457314
1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.8098873651418874,0.36450917938455174,0.9042180980240996,0.5142849316255729,1.3062671008871474,0.2558538229228216,4.859615567186555,4.249999026459322,1.2447332921520673,0.6491939722320046,0.08979659460173482,-0.05913652565415137,-0.033838720205283584,0.16808505977884453,0.015584670742779735,0.07068235210147414,-0.05655014309853189,-0.1298188777556255,0.16778662420399276,0.05797529513355157,0.031628979781228424,0.331150389037673,0.10981132907044117,0.0011612305205997778,0.03162897978122843,0.29731166883238946,0.05740407792663166,0.5734844700718037,0.16434630682027346,0.05740407792663167
