E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,B0,B2,B7,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19,flux_20,flux_21
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0267221988876757,0.2230348547458556,0.3366109098954949,0.5891113337527282,0.04238006749891491,0.41438690949205215,0.3085302728346593,0.12289044476098371,0.6890593990642849,0.7563978950569711,0.17276337414438803,0.02265132369676613,-0.08412950081149653,-0.020766231107554045,-0.07915269189943644,0.007540041501139709,-0.004279999553416574,0.026931323250182698,-0.03144322169134061,0.004976808912060107,0.04016942870695611,0.007359624643397428,0.0001804168577422688,0.0888697452899907,-0.007426749536586771,0.027303510383395915,0.018819629760869334,0.1205552933744202,0.007735329716011981,0.0007976505450455508,0.0015953010900911012,0.005724853929379779,0.033285196470589626
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0267221988876757,0.1189816261092983,0.17076689466261974,0.23199625890607134,0.6853077634336158,0.635906298948482,0.7544278538978179,0.3071317984873121,0.3410694894027302,0.4333595987393844,0.029562699193543568,0.012408287200652925,-0.08288729770964379,-0.02327641067208293,-0.07823219071236448,0.007788220881223889,-0.004752832100048362,0.01716111930070129,-0.03009358519155436,0.0046551069972792375,0.04035038463958626,0.004499422151873447,0.0032887987293504506,0.08576298569634488,-0.011273455573881389,0.026089560469332404,0.01903466428337919,0.1190584741499779,0.007378157314424278,0.0007976505450455473,0.0015953010900911012,0.0059548750616276085,0.0359291442630265
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0267221988876757,0.1261974449083367,0.1744787859571735,0.21559021494339203,0.6922666339736412,0.5500614840215615,0.7580271254179569,0.30964943976149467,0.33295974694826336,0.3986220681830174,0.05315774419702543,0.03126389854891829,-0.08520455177758446,-0.0186575609152791,-0.07995973191800193,0.007337510064280331,-0.003881859861126214,0.03514575841004451,-0.032584502467892726,0.005244819859582542,0.04003771938582887,0.00975741836109445,-0.002419908296814141,0.09150496787141599,-0.004204239272262766,0.028331141819295937,0.0186308141378092,0.12184235957575809,0.008036297224184674,0.0007976505450455491,0.0015953010900911012,0.005533765072552827,0.03107885304112429
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0267221988876757,0.11706475414528812,0.1689703931917121,0.22851273105329178,0.6819142693258452,0.5393003662850658,0.7554634347577047,0.3099878121367148,0.336962236883674,0.48310359634958033,0.03962843815285754,0.02071728377937323,-0.06799302164142337,-0.019058932197993705,-0.07604057213657758,0.007517208703130395,-0.0043602392238305315,0.025077523003203765,-0.029286205809293534,-0.008047550495154168,0.03923715762415361,0.004624654374902143,0.0028925543282282556,0.0844868190519578,0.0022540368066068656,0.025462934674517393,0.019407547329031143,0.1176685893306252,0.0073247398059701875,0.0007976505450455508,0.0015953010900911012,0.0058654599424587,0.030470842470663322
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0267221988876757,0.125596699446127,0.1745900125292511,0.2207901527389251,0.6924740769156934,0.612072399713555,0.7569362414236479,0.3078342983681737,0.33672376954896455,0.38401741715513166,0.04365848335398686,0.023542620144452568,-0.0914520351524885,-0.02154196576230232,-0.08064160446396382,0.007564184430368871,-0.004250003235446869,0.027792623379899434,-0.032439897117082034,0.010810430688524664,0.04063752291651296,0.008582984003511762,-0.0010187995731428812,0.0909213651611957,-0.011784936719773917,0.02815689709019018,0.01854214018314859,0.12194413117066702,0.007923934596846226,0.0007976505450455508,0.0015953010900911012,0.005667236965791486,0.03458251252595969
1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0267221988876757,0.10761045097767562,0.1554971207623494,0.2172489185966336,0.6559046296819094,0.5974307161650879,0.7097276914943346,0.28547638407735915,0.3150861369875388,0.40895470507685155,0.041080183256562666,0.02301413428569526,-0.07890409722164107,-0.01127910574829823,-0.07525064751321306,0.0071477846601301605,-0.003653612669927129,0.026667746955622386,-0.028483415202309195,0.003653449708428,0.039619447650773715,0.0025963504647275037,0.004551434195402659,0.07282561838414317,-0.010855609875656938,0.023167572378979553,0.01878645843764465,0.108063952093582,0.006579227340905951,0.0007976505450455508,0.0015953010900911012,0.005576340642805095,0.03375524731199065
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0267221988876757,0.13459395581947214,0.18574294121464904,0.2260582060085217,0.7129684391820309,0.577362723405965,0.7881343865277266,0.32467158073589664,0.351797056296549,0.4155654670811211,0.043083843341348335,0.0221645610854639,-0.08781855109827433,-0.028533233761493252,-0.0817774515280617,0.007820129875541424,-0.004741826768219789,0.026906387853683687,-0.0336367744119252,0.006041099570212663,0.040320547240595084,0.011270966993819437,-0.0034508371182779968,0.10157943434582808,-0.004499364364416961,0.030534098146978612,0.01863077189711429,0.1299966553365589,0.008635182101315055,0.0007976505450455508,0.0015953010900911012,0.005802457245577561,0.03262139188690025
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0267221988876757,0.08680904579446821,0.12792159931087727,0.15485542784607798,0.5991611703199371,0.3933385356323756,0.6944979849221841,0.31000883286573033,0.24492521604579062,0.2746178962216887,0.027582926983280086,0.015139996062337034,-0.055000610633118896,-0.01488737382515822,-0.04860425221046545,0.0031741001357224272,-0.0020546082499407013,0.017194604312277734,-0.02137804330220152,0.006396358422653417,0.02405210877254149,0.0068841860998444665,-0.003710085964122034,0.05741398737207498,-0.0027493423280233534,0.01678157349878312,0.022521828428852125,0.08720635107468548,0.0059663642237035176,0.0007976505450455491,0.0015953010900911012,0.003974825843254796,0.022223898417600266
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0267221988876757,0.14234634467962207,0.197058927439423,0.26084848227401447,0.7331771662573743,0.6998150280009725,0.7808707661112709,0.3023268291182774,0.38671028614666303,0.49327069940801305,0.051075261716128965,0.02689134191309373,-0.1005149549184293,-0.023736693521669818,-0.09663204831083458,0.010071587406519429,-0.005846878232115856,0.03273822014520958,-0.03732158366039696,0.003882906607594744,0.049238877243918205,0.0074764447288880875,0.0025951426776313624,0.10640561297465007,-0.010346887972642951,0.033116458864336805,0.01623471044316282,0.13876274179739426,0.0086734928648572,0.0007976505450455491,0.0015953010900911012,0.0066954533201582095,0.0395400315110228
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0267221988876757,0.12157730648918218,0.17238497524722463,0.22333191137243757,0.6883499104688385,0.5855646815780226,0.7495823341480331,0.301540857116047,0.3417221296447742,0.4109813665024497,0.04212439743316738,0.022514966893094183,-0.0831053533107623,-0.02073353432607825,-0.07723315759140739,0.0039850916582006585,-0.0042818243331613996,0.026796791226255577,-0.031419920715703126,0.005872195719354906,0.04182814521750361,0.00539938992547527,-0.0014142982672746413,0.08708515189470821,-0.006772043913807646,0.026991944859408163,0.018448874086632452,0.12037022633943614,0.007700156644016522,0.0007976505450455508,0.0015953010900911012,0.005732478772582511,0.033084808177782206
