E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,B6,B7,B9,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.1737944982423951,0.421556726538741,0.014047851508423278,0.08079182347946604,0.02023034703248391,0.04295082733734665,0.04452577319440917,0.13777457506114021,0.05944390219450008,0.09773367660522407,0.030122250893293588,-0.0027968228660897793,0.02250897884807825,-0.030008367867879516,-0.00279682286608978,-0.002796822866089779,-0.006430408590439738,-0.0055936457321795596,-0.008439446578258774,0.025808208517342366,-0.012024054322619299,0.02321211455215045,-0.03764749154725925,0.012906066757993186,0.026608531416221392,0.05313363654454618,0.0266085314162214,0.05219675156778213
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.17348534121861406,0.04777108530599427,0.09322986121086972,0.1016393064765042,0.1729793281377856,0.4181405857853505,0.021472070793274522,0.06568448527565665,0.05138059120891705,0.01515592285313716,0.02347622914230892,-0.0030779446257850848,0.025288896839535224,-0.03308081677597138,-0.0030779446257850843,-0.0030779446257850843,-0.006571442383218761,-0.006155889251570171,-0.008343531107052798,0.03273535202802234,-0.012727331634788928,0.023022256232368612,-0.043454740125235036,0.012542925695753934,0.03070495978581146,0.05313363654454618,0.03070495978581147,0.05428263638443901
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.17393368362043415,0.04066763768517707,0.0749062497574821,0.09587835917757247,0.12114342197083736,0.42326880854392274,0.0196372639244858,0.056472433939485735,0.04128213158096501,0.013515446738532126,0.033259287569492126,-0.002661785569433484,0.02119242019183354,-0.02855253855405427,-0.0026617855694334846,-0.0026617855694334846,-0.006364273656157079,-0.005323571138866968,-0.008481074162794961,0.022536134544487545,-0.011687844795024048,0.02330009108916797,-0.03489961092693577,0.013077642155296994,0.02467013633440101,0.05313363654454618,0.024670136334401013,0.05120587978014141
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.17198091449298797,0.043066053975434185,0.08021821545822468,0.09577400116192882,0.13521991253563673,0.28186981264498084,0.016925447735585145,0.045987376661493,0.04420964787925086,0.007501329336597727,0.02927594355494123,-0.0014345116357371561,0.022649206134217597,-0.03015811093309778,-0.0014345116357371568,-0.0014345116357371568,-0.007077261852646069,-0.002869023271474312,-0.008349677543727972,0.025292204625342096,-0.009946285124120382,0.022728442808218532,-0.037380377670941344,0.012849758065717542,0.026419615431226513,0.05313363654454618,0.026419615431226513,0.05115014515550761
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.175493134384126,0.04283963396811165,0.08132986079352347,0.09958220674644391,0.14018416412111948,0.5371595119429613,0.023353267619365674,0.06817295290645246,0.04482229487672942,0.020582121271145122,0.030922940749241498,-0.004084335360315678,0.02237518896353778,-0.02986522347458992,-0.00408433536031568,-0.004084335360315678,-0.005818780699109502,-0.008168670720631358,-0.008523554705960723,0.02629503115562035,-0.01398745141974086,0.02366987288022173,-0.037898077033057476,0.012957717315894785,0.026785732303113517,0.05313363654454618,0.026785732303113517,0.0531839984605448
1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.18632861383444543,0.061412311324869746,0.10009491511627458,0.09841093070230118,0.1443983461362181,0.419134932922766,0.023353302958607255,0.08406690914756546,0.05516404131556229,0.018313487034039306,0.03071698771470085,-0.004007560954618878,0.016834594548841654,-0.044257974814567974,-0.004007560954618878,-0.004007560954618876,-0.005676832067244811,-0.008015121909237755,-0.008849748131919646,0.0264242097844642,-0.013691953976482566,0.02703253768582823,-0.046565989164245154,0.014368153375369903,0.03296594356670666,0.05313363654454618,0.03296594356670666,0.05255845354279499
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.16715894371687193,0.0336062646566615,0.0709670472516598,0.09725245014241637,0.13433009000207893,0.4236232014742063,0.018627768480152723,0.04696833684358669,0.03911116885494521,0.011885389174785897,0.029836991218179544,-0.0021825923519340185,0.025297562657932527,-0.02280046117645707,-0.002182592351934019,-0.002182592351934019,-0.006800913974527661,-0.004365184703868038,-0.008195091729446671,0.025479237678300643,-0.0111660986783957,0.02130082397661591,-0.03310201813041527,0.012142269665916321,0.02337277245378912,0.05313363654454618,0.023372772453789114,0.0519397423259371
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.16504969933064517,0.049395534890809376,0.06581534086468958,0.09853548853850629,0.13491630301892063,0.42100952330171826,0.02140952103242848,0.06809688829417661,0.036271974240050485,0.015586302028132179,0.030546983459282785,-0.0032250728651377334,0.02638457262833665,-0.018442534442354573,-0.003225072865137734,-0.003225072865137734,-0.00621204849574012,-0.006450145730275467,-0.008018436219400078,0.025811725950401133,-0.012662194226015586,0.020672717419919957,-0.030596622355551023,0.011779734755593803,0.021676074256604755,0.05313363654454618,0.02167607425660476,0.0526249763081103
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.17958065756947703,0.03852000489032098,0.09102797312976263,0.09715522443076868,0.13966954545865162,0.4220793244353427,0.01941686846723768,0.05349766333090467,0.0501670925517941,0.012991938777137474,0.029843000586293876,-0.0025027977461005517,0.019845433662920717,-0.037928750762965924,-0.0025027977461005526,-0.002502797746100552,-0.006577982462418332,-0.005005595492201105,-0.008726896204902908,0.025793433704352848,-0.011583577954619437,0.02496504447658503,-0.04246930575856539,0.013655321186786298,0.02997977491365629,0.05313363654454618,0.02997977491365629,0.05188781686387371
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.17377425198087318,0.04295213359386268,0.08078541512724666,0.09771171993129407,0.1377459531177619,0.5312591781732575,0.020193284897507244,0.08526314189276611,0.044522241440511555,0.015648121044134992,0.030112754165554624,-0.0027815441917164035,0.022510559214782837,-0.030010057155365012,-0.0027815441917164027,-0.002781544191716399,-0.00643766498668298,-0.005563088383432806,-0.008438444251543765,0.025802426570707956,-0.012000753370115785,0.023206686135605583,-0.03764450713192111,0.012905444774720796,0.026606420845695644,0.05313363654454618,0.026606420845695644,0.05218502513842624
