E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,B0,B5,B6,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19,flux_20,flux_21
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.114699910940532,0.037454191279924505,0.2972226645683814,0.7993353669305632,0.10192908986384931,0.4399696808093815,0.3487528594774429,0.29017993819130666,0.3505856610245731,0.4501541268714246,0.06955697269562149,-0.02313002764783298,0.06829408547513421,-0.028818810418452016,0.04018520267867672,0.01848150616299392,-0.00120502950574735,0.03975700819073096,-0.0005695436912780006,-0.05236411836183949,0.04908024188814858,-0.0012050295057473535,-0.011924996246365092,-0.012779809199983613,-0.008283141742720653,0.015635491185728753,-0.005516248630848838,9.215500683311482e-05,-0.011496801758419339,0.006425422760336509,0.00642542276033651,0.02931660922330214,0.0346264605636271
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.114699910940532,0.07344296654612639,0.4690883762541966,0.2533382449273875,0.2078085326137213,0.2566867746422282,0.020682041610168025,0.2858237400217781,0.032983790338287564,0.22931298108219084,0.16977922684756236,-0.009629793057764154,0.048861678981294544,-0.015434402609686199,0.02909070429107092,0.010412942484296623,-0.0010067854185805865,0.03254262120870262,-0.00047928404683911154,-0.024139720335979015,0.028979468712480475,-0.0010067854185805882,-0.002092070016831926,-0.007135774518534936,-0.004865391971353836,0.0057479430596651775,-0.001733113489010178,-0.0007108588009557401,-0.005543986934463628,0.006425422760336509,0.00642542276033651,0.016188504172876882,0.02548553864960439
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.114699910940532,0.1162027902294661,0.9999621135593563,0.5680141422825166,0.6136751774935144,0.39494778962829064,0.0482051030052176,0.36897138275872793,0.0955599272058735,0.320720444363399,0.37391343602303645,-0.03325388989547405,0.07802715847449243,-0.03777259008558711,0.04599879516936329,0.023292009956005482,-0.0013726622285094442,0.04172204852859773,-0.0006699728146036957,-0.07259583817476933,0.06120615871593969,-0.0013726622285094442,-0.0201456144412439,-0.016065921318835046,-0.01021249491017406,0.02317885413689912,-0.00858957526411711,0.0007592087262482143,-0.015868867800478338,0.006425422760336513,0.00642542276033651,0.03773169621563191,0.03921299479171388
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.114699910940532,0.1486228502816952,0.9438872514647748,0.5667576686963232,0.6167831347654181,0.30466994036035133,0.05130142959257219,0.330410509780111,0.09595305502281583,0.26103572996362795,0.36606442213998586,-0.031081526489378654,0.05632548113540221,-0.0405071597506825,0.034683416345225086,0.023144353039402085,-0.00044953355108395127,0.03676308897346369,0.0029929987582029242,-0.0720151092084265,0.05764409965604068,-0.0004495335510839478,-0.014120399974537921,-0.0162248153747022,-0.009754811261086257,0.03267549755532664,-0.007535493253536889,0.0021821330279086877,-0.016200072602776516,0.006425422760336513,0.00642542276033651,0.04015529137247283,0.030249620578422322
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.114699910940532,0.0771727711185889,0.6988385596468559,0.376649077213847,0.34466523572198204,0.3495570940174207,0.030117356178784957,0.3496890601454213,0.054495846497070594,0.2907116357142123,0.2526039018894748,-0.018260125102068887,0.0693358081896625,-0.022847273770644452,0.0403077005240505,0.015500333344916215,-0.0015211621174544623,0.03998437810614403,-0.0016097350735182216,-0.0410996882227159,0.04305214038413399,-0.0015211621174544623,-0.00925933457795785,-0.01058215160843673,-0.0071851319894117045,0.00830637702911217,-0.004413641855535451,-0.0007472202070394423,-0.008936012160051382,0.006425422760336509,0.00642542276033651,0.023573830638488818,0.034706310218909055
1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.114699910940532,0.08068555070319113,0.5585160851725538,0.3241283614810097,0.4338171476727246,0.27845972612885145,0.026700507272328283,0.26215774279007475,0.04616146647930473,0.2437075684771818,0.2117908488325822,-0.01736749476919484,0.05390718905309923,-0.01775375985279485,0.03239644531801636,0.013315440904492274,-0.0005766524559064588,0.029669142038888895,-0.0008364224645668276,-0.034392424449967395,0.034348679996106905,-0.0005766524559064606,-0.010858770027714366,-0.009473042369742498,-0.006207296290899178,0.006789483544475519,-0.006122459657880464,-0.00028886708739629284,-0.008131466748586889,0.006425422760336513,0.00642542276033651,0.02089935227590863,0.02764729940802308
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.114699910940532,0.11236071451760392,0.9268994188966455,0.5147111613038733,0.43635207631783485,0.38370585742695323,0.043056385217555705,0.3996005222471293,0.08275260428584003,0.31328815041555585,0.3415333645569012,-0.02611621605545737,0.07533082818687381,-0.03533230653850101,0.04396988270002879,0.02112502783142546,-0.0015987259725643993,0.04536667560130223,-0.0003275638489682589,-0.06254326782349176,0.05686555985389761,-0.0015987259725643958,-0.011817825202273063,-0.01440047547918864,-0.009274649099516218,0.02147497635005622,-0.00508230037014067,0.0003104541277311494,-0.013214618103546495,0.006425422760336513,0.00642542276033651,0.03370162795827255,0.038096822374912666
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.114699910940532,0.09415280054763187,0.8128908965402686,0.42860098101705973,0.45354544361188165,0.3995916377698609,0.03619032685629687,0.26534172967423125,0.06355680936591687,0.3237905967019081,0.2897483233880297,-0.0206408803631905,0.058117786309678,-0.029660344796942212,0.02421426256114643,0.01758073109613213,-0.002032653117976381,0.02986174308882457,-0.0011141256147606336,-0.047819073375693334,0.050074594941130264,-0.002032653117976374,-0.0055583754158316685,-0.011726595405619187,-0.007905112833082619,0.015118554367860393,-0.0060630405136071095,-0.0006548801584035325,-0.011205855943509816,0.006425422760336513,0.00642542276033651,0.028327341583284846,0.03967406635046456
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.114699910940532,0.10759585778821346,0.7914529923529313,0.4657854879303585,0.4318808272449768,0.31315998551361435,0.03838630677247382,0.41221061282176263,0.0739150631565827,0.2666486895580654,0.3028974597643853,-0.024895786934175743,0.07561652682122688,-0.028306641863295463,0.05156989185953974,0.019134325602377628,-0.0006380862548122437,0.04690993494829809,-0.00013776443690728755,-0.05566480190415046,0.04848242542898361,-0.0006380862548122437,-0.016330111933121463,-0.013525886868695509,-0.008555534389825637,0.0160483064326207,-0.005154820071934553,0.0006205099626216343,-0.011670155021879808,0.006425422760336509,0.00642542276033651,0.030046206224728512,0.03109256768464527
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.114699910940532,0.10952082164104221,0.852358369985977,0.5599516952821023,0.46739677555359455,0.370735072604961,0.0339156267210398,0.3746407864712597,0.07837857617519259,0.30471287315851975,0.3512138977253134,-0.02457077019263529,0.0736367141581961,-0.029550730056486795,0.04268386896499006,0.011684875103922705,0.0009257497052373234,0.04247686792557017,0.000726355565927656,-0.059152117389311566,0.0522409703325825,0.0009257497052373234,-0.013773360675350399,-0.011528531340840793,-0.01044643787252155,0.018232677358149974,-0.005817449653433384,-0.0005692697696433038,-0.013566359635930515,0.006425422760336509,0.00642542276033651,0.026546860075424186,0.036808998183899246
