Type,index,J0,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21
ADVI,0,0.4660933322032414,-0.12124703690419815,0.10303693646645042,-0.18685419228001302,0.17339911094430363,0.009880217274989604,0.2554464261292945,-0.021682602748288902,-0.26344652879775915,-0.3404402047401377,0.00200659630249078,0.05734445276634753,0.4060973215091571,-0.1384972417159769,-0.0012564473021663158,-0.07448879551212423,-0.003040143507656516,0.14832948784298208,0.18689889544571628,-0.24235934221977612,-0.7140953571908831,0.29887511603400696
ADVI,1,0.8834091340390212,-0.3764747229036944,0.00997939348684237,-0.4601857269732269,0.6962394440665527,0.4565986399510191,0.6744447956310596,-0.010215484876179147,-0.33356797616479356,0.7466434561238611,-0.43989866999899396,-0.0970484304780308,0.3631233385245696,0.09023170840845558,-0.14915106971717237,-0.03707249939723492,-0.004441943876151786,0.5070764528270487,-0.2573236760704733,0.38094508622393825,-1.9771182148174382,-0.6661930340089777
Prior,0,-0.0024735220679335864,0.04214429602762484,0.03686113597752656,-0.15693584457211965,0.39865367790257056,-0.0010815691912812446,0.1307295515380263,-0.016222718314557155,-0.0782406746191877,-0.13233527672122794,-0.0013856076062834627,0.0861099789317629,-0.025281714350381883,-0.022553593059637746,0.03242684779372686,-0.012861934579170422,-0.0021284471713853936,0.16280473145842536,-0.0332785201966522,0.006592904096693432,-0.5553518938215101,0.1438081925449719
Prior,1,1.1627396750978491,-0.991924890349014,0.3412544320601231,0.312226679675447,-0.19294618269349267,0.015057269246275432,0.2685436171011465,0.015755897320885517,-0.3584299033809244,0.26041551998460855,-0.010435236219152481,-0.27230324784411186,0.33870494845715465,0.15541783482734095,-0.27038228286025595,-0.07631988354176236,-0.0008716954454553648,0.045227152822606836,0.016535940351470574,0.03534583003280606,-0.5140217662010409,-0.2795897084425035
median,,0.6747512331211313,-0.24886087990394626,0.056508164976646395,-0.32351995962661995,0.43481927750542815,0.23323942861300437,0.46494561088017705,-0.015949043812234026,-0.29850725248127635,0.2031016256918617,-0.2189460368482516,-0.019851988855841635,0.3846103300168634,-0.024132766653760664,-0.07520375850966934,-0.055780647454679574,-0.003741043691904151,0.3277029703350154,-0.03521239031237851,0.06929287200208106,-1.3456067860041607,-0.18365895898748535
ground truth,,0.3590782582486073,0.07474578623434432,0.26761677746332396,-0.23973986889094331,-0.10845499580252875,0.00017681968617446145,0.1936724857912877,0.015920772648751403,-0.29106136602090676,0.507647187824646,0.00035921646758875427,-0.07399456686591216,0.04481821905299239,0.14330218878659218,-0.11573526315995408,0.006125690078047734,0.001041603334494067,-0.03325776736205734,-1.636379940151286e-17,0.12105345462214143,-0.22096025345844036,-0.652354378678249
