E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,B9,B3,B4,S9,S0,S1,S6,S3,S2,S4,S8,S7,S5,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.28384672840784,22.6926196,36.822545,17.7126253754211,12.630629399885267,0.13116848498283012,0.22869400595984246,0.24370683424248304,3.3106414079563913,3.5880358480825145,0.3310307290107701,0.057152476805442005,4.146779961707914,0.09772311729093275,-0.016748722386888723,0.11447183967786145,-0.016748722386893178,0.09772311729093548,0.11447183967782426,0.09772311729093452,0.11447183967782426,0.09772311729093548,0.11447183967782415,0.09772311729093541,0.11447183967782415
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.28384672840784,22.6926196,36.822545,17.71235002992435,0.13158218879117167,3.310751586371201,4.146783775743641,0.24370676900012095,3.5881542548819305,0.22937518114260896,0.3311073235415876,0.05715735509646538,12.592920404457091,0.0977219264695357,-0.016798024150264237,0.11451995061980824,-0.01679802415026188,0.09772192646953613,0.11451995061980036,0.09772192646953659,0.11451995061980036,0.09772192646953613,0.11451995061980025,0.09772192646953659,0.11451995061980047
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.28384672840784,22.6926196,36.822545,17.7127167986788,0.13103115980002883,3.310604825300312,4.146778695372755,0.24370685589870458,3.587996533347156,0.2284678467506842,0.33100530412779655,0.057150857061292776,12.64319901216491,0.09772351256620126,-0.016732352784467927,0.11445586535066354,-0.016732352784487148,0.0977235125662013,0.11445586535066926,0.09772351256620038,0.1144558653506692,0.0977235125662013,0.11445586535066932,0.09772351256620126,0.11445586535066932
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.28384672840784,22.6926196,36.822545,17.76025833355968,0.1272162743008788,3.2915812675785316,4.146294653829005,0.24370687561199755,3.5675522513412337,0.22870463442155026,0.3302657317805801,0.056308564575724446,12.664696397230415,0.09772387237860158,-0.008425091087997353,0.10614896346663727,-0.008425091087985948,0.09772387237860523,0.10614896346660257,0.09772387237860514,0.10614896346660252,0.09772387237860523,0.10614896346660307,0.09772387237860514,0.10614896346660241
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.28384672840784,22.6926196,36.822545,17.665568213715925,0.13509391030712606,3.329471145661844,4.147254155046324,0.24370678300885346,3.608271835134878,0.22868344792732648,0.33178996130499755,0.05798618766050291,12.596974283625949,0.09772218216074435,-0.024971925186961005,0.12269410734768371,-0.024971925186946464,0.0977221821607444,0.1226941073477053,0.09772218216074435,0.12269410734770547,0.0977221821607444,0.12269410734770547,0.09772218216074435,0.12269410734770547
1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.28384672840784,22.6926196,36.822545,17.712635665262443,0.13123155574411124,3.313027624245869,4.146780025012753,0.24370682362429746,3.5880314231429593,0.22869400662460324,0.33104236774178314,0.05718800683986982,12.630636833618368,0.09772292348490907,-0.016747118255528572,0.1144700417404465,-0.01674711825552322,0.09772292348491246,0.11447004174044118,0.09772292348491174,0.11447004174044095,0.09772292348491245,0.11447004174044118,0.09772292348491263,0.11447004174044118
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.28384672840784,22.6926196,36.822545,17.712621945399476,0.13114746093910506,3.3098459858700386,4.146779940605874,0.2437068377819554,3.588037323094407,0.2286940057382443,0.33102684934927845,0.057140633212653634,12.630626921920403,0.09772318189435225,-0.016749257108952077,0.11447243900327919,-0.016749257108983784,0.09772318189435056,0.11447243900330273,0.09772318189435136,0.1144724390033025,0.09772318189435057,0.11447243900330228,0.09772318189435047,0.1144724390033025
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.28384672840784,22.6926196,36.822545,17.712637773702358,0.13116745349596723,3.3106364468330334,4.146779836087403,0.24370683425462816,3.5880305164507305,0.22866903811836536,0.33103052943137257,0.05715225714532452,12.630638267101823,0.09772311751260787,-0.01674655582147318,0.1144696733340993,-0.01674655582147011,0.09772311751260979,0.11446967333408298,0.09772311751260965,0.11446967333408298,0.09772311751260979,0.11446967333408287,0.09772311751260965,0.11446967333408287
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.28384672840784,22.6926196,36.822545,17.71262124194393,0.13116882887156,3.3106430619509832,4.146780003588598,0.24370683423843384,3.5880376256013347,0.22870233001714638,0.33103079554879444,0.05715255003817989,12.630626443633794,0.0977231172170292,-0.01674944470061035,0.11447256191766542,-0.016749444700579375,0.09772311721702832,0.11447256191763866,0.09772311721702831,0.11447256191763866,0.09772311721702831,0.11447256191763922,0.09772311721702831,0.11447256191763855
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.28384672840784,22.6926196,36.822545,17.738375642731107,0.12901146007147943,3.3003375400280492,4.150463084520703,0.24345741569794385,3.576962462927139,0.2286613859896761,0.6076798439678296,0.056696259800439096,12.650793648201159,0.09317066193958112,-0.016801850054161165,0.10997251199376024,-0.016801850054179113,0.09317066193958144,0.10997251199374258,0.09317066193958112,0.1099725119937428,0.09317066193958146,0.10997251199374247,0.09317066193958112,0.1099725119937427
