E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,B2,B4,B5,S6,S4,S3,S7,S2,S0,S5,S9,S8,S1,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.32852948,48.639623,35.969629840199,0.13778714877471948,0.038797752512424594,1.5345598842382657,0.03796445726639484,6.216653849522093,7.7721847003471485,0.165359309072312,0.02477683564532936,0.0785551705037329,0.018417553564526762,0.006740017709507341,-0.0033322862836790423,-0.013404590276865413,0.003332286283679764,-0.010072303993186378,-0.010072303993186399,-0.010072303993186382,-0.010072303993186385,0.0033322862836790423,0.006740017709507384,0.003332286283678876
0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.32852948,48.639623,35.969629840199,0.1442162944209644,6.208841554796757,7.772869794891672,0.03807780059938226,0.038790536653213,0.16537174858620238,0.018562981370838207,0.07855575797743772,0.024812223454041046,1.5347412873270097,0.006528542523584686,-0.003539437614931346,-0.013607417753447407,0.0035394376149291418,-0.01006798013851603,-0.010067980138516036,-0.010067980138516031,-0.010067980138516031,0.0035394376149313345,0.006528542523584591,0.0035394376149313622
1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.32852948,48.639623,35.969629840199,0.13220847865380533,6.22343296649495,7.771590209711798,0.037866325533296774,0.03880401308304484,0.16534851468696005,0.01829129188020608,0.07855467439687977,0.024746232272509928,1.5344025230742884,0.006923496252665561,-0.0031525307630594847,-0.013228557778784527,0.003152530763060213,-0.010076027015725054,-0.010076027015725048,-0.01007602701572505,-0.010076027015725044,0.003152530763059491,0.006923496252665418,0.0031525307630593247
1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.32852948,48.639623,35.969629840199,0.14070171944666532,6.2258330261981705,7.771379737902038,0.037826496535280724,0.038805659768833003,0.1653446930728165,0.01846966399735559,0.07855193613230539,0.024749549886322886,1.5345814745406767,0.00697175567305987,-0.0030888906188919875,-0.013149536910843855,0.003088890618894169,-0.010060646291951855,-0.010060646291951886,-0.010060646291951858,-0.010060646291951861,0.0030888906188919762,0.006971755673059965,0.0030888906188919485
1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.32852948,48.639623,35.969629840199,0.13503768347711764,6.207993479568775,7.772944166344933,0.038095004183922955,0.038790293198658087,0.16537309897606214,0.01836844027472977,0.07855820162124341,0.02480261683872885,1.5345395832593947,0.0065214076009437755,-0.0035619252345939372,-0.01364525807013164,0.003561925234595975,-0.010083332835537712,-0.010083332835537723,-0.010083332835537716,-0.010083332835537714,0.003561925234593949,0.006521407600943885,0.0035619252345937547
1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.32852948,48.639623,35.969629840199,0.13778547342862382,6.217179942480658,7.772138564937707,0.038410352327503935,0.038797747969309605,0.16535847137469617,0.018396376711371367,0.07856262560695598,0.024790837544647976,1.534560164387668,0.006739884564427653,-0.0033183363674855015,-0.013376557299398672,0.0033183363674851307,-0.010058220931913147,-0.010058220931913164,-0.010058220931913157,-0.010058220931913154,0.0033183363674854915,0.006739884564427534,0.003318336367485575
1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.32852948,48.639623,35.969629840199,0.13778872680335574,6.21622146363216,7.772222618170877,0.03759819594958038,0.038797756791878225,0.16535999756019848,0.01843498724591089,0.07854903427033891,0.02476530745174344,1.5345596534926862,0.006740143127446561,-0.0033437514569592416,-0.013427646041365026,0.003343751456956312,-0.010083894584405804,-0.010083894584405811,-0.0100838945844058,-0.010083894584405801,0.003343751456959254,0.0067401431274465295,0.0033437514569594207
1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.32852948,48.639623,35.969629840199,0.1377891311294879,6.21665241471272,7.772364523509414,0.03796532102126385,0.03879775790908967,0.16535931135695842,0.018417864527857347,0.07855687670117052,0.024777400136480214,1.534562465890201,0.006740175869562078,-0.0033323243291843397,-0.013404824527930768,0.0033323243291853545,-0.010072500198746413,-0.010072500198746448,-0.010072500198746415,-0.010072500198746417,0.003332324329184344,0.006740175869561993,0.0033323243291842886
1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.32852948,48.639623,35.969629840199,0.13778552687256182,6.216655023444309,7.772037575358393,0.037963750572771716,0.03879774809703863,0.16535930720307612,0.018417299142802542,0.07855377454959993,0.02477637379824872,1.5345577720153438,0.006739888307782065,-0.0033322551558825587,-0.013404398619547175,0.0033322551558850225,-0.01007214346366462,-0.01007214346366464,-0.010072143463664624,-0.010072143463664621,0.003332255155882563,0.006739888307782049,0.0033322551558825353
1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,10.32852948,48.639623,35.969629840199,0.13533419252398712,6.219537356588612,7.771931832908089,0.03783852562618697,0.03879109124108221,0.16535471766511758,0.017961941517539198,0.0787538642868519,0.024104467869843653,1.5336305981989276,0.006544795830350428,-0.003255827016759431,-0.0130564498638693,0.003255827016758417,-0.00980062284710986,-0.009800622847109836,-0.00980062284710986,-0.009800622847109858,0.003255827016759416,0.006544795830350392,0.003255827016759305
1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,10.32852948,48.639623,35.969629840199,0.13989789518347467,6.214172729866939,7.7724022806612325,0.03807291420846437,0.03880348478207273,0.16536325975818586,0.018809168622038127,0.0783843749450756,0.02535586187107791,1.5353597299628845,0.006908013336076795,-0.003398075818975832,-0.013704164974028455,0.0033980758189748883,-0.01030608915505263,-0.0103060891550526,-0.010306089155052631,-0.01030608915505263,0.003398075818975832,0.006908013336076824,0.0033980758189757765
1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,10.32852948,48.639623,35.969629840199,0.13714593843430967,6.217407549957762,7.772118605035227,0.03793148980491626,0.03879600696583649,0.16535810895539785,0.018305370952828828,0.07800824307778448,0.024602276297387708,1.5337262148526938,0.0066888609756414604,-0.0033123011123470368,-0.01331346320033554,0.0033123011123450397,-0.0100011620879885,-0.010001162087988477,-0.0100011620879885,-0.0100011620879885,0.003312301112347038,0.006688860975641253,0.00331230111234726
1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,10.32852948,48.639623,35.969629840199,0.13831817516379907,6.216029670737622,7.772239437334815,0.03799176614755443,0.03879919817266943,0.16536030295195076,0.018510370510026276,0.07900808442530807,0.02492141628248918,1.5352501957425162,0.006782385674294247,-0.0033488370502227525,-0.013480059774739742,0.003348837050221931,-0.010131222724517004,-0.010131222724516992,-0.010131222724517,-0.010131222724517,0.003348837050222764,0.0067823856742943445,0.0033488370502228193
1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,10.32852948,48.639623,35.969629840199,0.13679169463009808,6.2178241521836854,7.772082071350535,0.037913456923380766,0.038795062750377925,0.16535744559983348,0.01987019222693992,0.07853822432123674,0.02486525697253828,1.5360839980454077,0.006661188853167289,-0.0033012544597718963,-0.013263697772711077,0.003301254459774583,-0.00996244331293919,-0.009962443312939134,-0.00996244331293919,-0.009962443312939186,0.0033012544597719184,0.006661188853167133,0.0033012544597719184
1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,10.32852948,48.639623,35.969629840199,0.13862112251249512,6.215673405974137,7.772270679761586,0.03800719715385423,0.038800005752888805,0.1653608702321968,0.01720331721380361,0.07856926435619589,0.024702692991481628,1.5332855990861738,0.0068060534277835675,-0.003358283790601553,-0.013522621008986695,0.003358283790600325,-0.010164337218385128,-0.010164337218385111,-0.01016433721838512,-0.010164337218385121,0.003358283790601546,0.0068060534277836204,0.003358283790601657
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,10.32852948,48.639623,35.969629840199,0.13234687754372074,6.223049345028852,7.771623851168353,0.037685439690116805,0.03878299312027477,0.16534912552727318,0.01738388344159807,0.0788912718191308,0.025446530424312153,1.5345320102097337,0.006307464203766248,-0.003162702895600132,-0.012632869994966503,0.003162702895600944,-0.009470167099366381,-0.00947016709936635,-0.00947016709936638,-0.009470167099366381,0.003162702895600139,0.0063074642037661555,0.003162702895600056
