Type,index,J0,J1,J2,J3,J4,J5,J6,J7,J8,EX_S1,EX_S3,EX_S6
ADVI,0,0.9650917075676652,-1.1233588714147782,-0.5693230095746104,-0.6863227771678199,-0.7419954441141087,0.2911718974604413,1.2216466253636522,0.160917664575803,0.4080683915534687,-4.761592964570009e-09,-0.3311661243028769,0.40526993517912974
ADVI,1,-0.20830981414420968,0.09657282942488503,-0.19042576663811417,0.05468860350130285,-0.4231464901387747,0.49877212511501723,-0.6532129319735764,0.0647005048161496,0.11994238206435762,1.8281483038533004e-07,-0.0663713040576384,0.7067897214355462
Prior,0,0.17441219213274428,0.08041928281113554,0.004403467721130462,0.11500233427451535,-9.231812156762189,9.144533647699285,-0.01083006791324373,-0.037110651267364396,0.20309013075324253,-1.3227017282397523e-08,0.19331116220488828,-0.6354193111923501
Prior,1,0.2624795847922251,-0.04252381095279628,-0.018142404270916724,-0.007931586086089053,-0.02278243002353769,-0.04102821569604991,-0.030996783250740276,0.2579958320144016,0.200015874321456,-6.191652227944357e-06,-0.7028635127096617,0.14577745842735765
median,,0.37839094671172774,-0.5133930209949465,-0.37987438810636226,-0.3158170868332585,-0.5825709671264416,0.3949720112877293,0.2842168466950379,0.11280908469597631,0.26400538680891317,8.902661871038001e-08,-0.19876871418025766,0.5560298283073379
ground truth,,-0.0007126629781300207,-2.0966222486590247e-45,-0.000712728647523395,8.50722767022807e-33,-3.5560232417628286e-05,-0.0007145967805054216,-0.008922279401412287,-0.008993299074022076,-0.0011098458543565444,-0.22987279361814242
