Type,index,J0,J1,J2,J3,J4,J5,J6,J7,J8,EX_S9,EX_S2,EX_S3
ADVI,0,-0.3449575868371453,0.035612265104757415,-0.025302501917844878,-0.041956241020908426,0.0017029676767634995,0.004762717212689258,0.008001687937819885,-0.001963106747504672,0.005896070663056008,-0.0009112470692483073,-0.01815897263737791,1.3772739476349438
ADVI,1,0.6911074587015582,0.0031741222687803254,-0.09963690079633353,0.14597818770062154,0.12139514817159358,0.10462641861592738,0.029238015193005805,0.18008607838234766,-0.013669556255825333,-0.0003382428869471844,0.00911772886880665,-0.17107845796353546
Prior,0,-0.07138254829302548,0.12659355631545874,-0.47570818347227056,0.10176215036712724,0.16308288025897122,0.11865670741835378,0.09969783522919168,0.5885644856582704,0.11950687338477875,0.017190665259763288,0.1118326283463531,0.10020294952702799
Prior,1,-0.1729215306383738,-0.08919250285878028,0.029642557269924024,-0.06311017336220265,-0.07083948673153014,-0.05898827334798689,-0.07083740991416068,-0.05232246763789002,-0.05573238707767828,0.01093711922680709,0.20291620306563427,1.390448352006237
median,,0.17307493593220646,0.01939319368676887,-0.0624697013570892,0.05201097333985656,0.061549057924178543,0.054694567914308316,0.018619851565412845,0.0890614858174215,-0.003886742796384662,-0.0006247449780977458,-0.00452062188428563,0.6030977448357042
ground truth,,0.8556804982647075,0.015326147075296946,-0.17862907861263036,0.002450971832830696,0.004064444919900545,0.18588961740092383,0.06845975195980061,0.09903147423001492,-0.0016896075286036748,0.016093806685046973,-0.09258860845987422,0.025910582232586243
