Type,index,J0,J1,J2,J3,J4,J5,J6,J7,EX_S5,EX_S3,EX_S4
ADVI,0,0.010769115538554086,0.4777376837533265,0.0008161902928574739,-0.06631071894401756,-0.039287260659255856,0.49366369861984544,0.16889844977727106,2.3685081950380364e-07,-2.3514289773543654e-07,0.05561777135880797,-0.10190475988748814
ADVI,1,-0.011471919811190334,-0.1980715783261702,0.0738628974685111,0.30643172759185977,0.553408239691359,0.26972652277052406,-0.2768827687868085,1.0405135952502392e-08,3.206664054497828e-08,0.013405025931591935,0.2695918632252428
Prior,0,-0.020472258551022415,1.0567346034078744,-0.011059111802752822,-0.014879168171338138,-0.004059767362303466,-0.0019783322025739166,0.007679249678323286,-2.5765032046915175e-05,2.4910607258100145e-05,-0.005088315630601179,-0.006876757550418808
Prior,1,-0.08437717440286496,-0.07288834206889015,-0.07211638400936438,-0.07058411301275001,-0.060743211865433,-0.05208065586786839,-0.061922977719951616,-1.2495215951588334e-06,1.013541265264472e-06,-0.05326974234743581,1.5279826023194742
median,,-0.0003514021363181241,0.13983305271357815,0.037339543880684285,0.1200605043239211,0.2570604895160516,0.38169511069518475,-0.053992159504768725,1.23627977728153e-07,-1.0153812859522913e-07,0.034511398645199955,0.08384355166887733
ground truth,,7.224975665200612e-07,0.023756402421316065,6.08265815678317e-07,1.9393638424040158e-05,8.897037051385919e-06,0.000708846408195987,0.00014677640751246818,-2.3034471852744534e-22,0.0,0.4881220448744011,0.4872363084497167
