Type,index,J0,J1,J2,J3,J4,J5,J6,J7,J8,J9,EX_S6,EX_S3,EX_S9
ADVI,0,0.5522088353404309,0.13457256819495697,1.063818023901346,0.16046220730837293,0.4946573282878642,-0.7619005806809714,-0.26598403594393366,0.5556274353236191,-0.28807791217067746,0.11029247315811906,-0.07398217170506001,-0.9323344063895294,0.2506402353754607
ADVI,1,0.13160118873583826,0.062125315102412836,0.1035674235010018,0.08415227223953785,0.22882348294200275,0.017939241383089256,-0.028505574950123704,0.3855410433983325,-0.12735816578714315,0.043613775682041826,-0.03550281432004465,-0.13696852785721894,0.27097133993027384
Prior,0,-0.02635225256795648,-0.07496841064496848,-0.07646470669161952,-0.0784138334363324,0.008145569976574887,-0.2612761143703336,-0.07354780264551264,-0.10240859892828343,0.13938246490293277,-0.06690923156951828,1.4502903094950066,0.22537952923018542,-0.06285692275017477
Prior,1,-0.08435255356126947,-0.0795292366658995,0.19107339408533972,0.13789631654979986,-0.07956323437299516,-0.3765535044886296,-0.07687936482001739,-0.019775104179546088,-0.05818899190692429,-0.08826897136251621,-0.05088014375278107,-0.03486077612840314,1.619882170603842
median,,0.34190501203813456,0.0983489416486849,0.5836927237011739,0.12230723977395538,0.3617404056149335,-0.3719806696489411,-0.14724480544702867,0.4705842393609758,-0.2077180389789103,0.07695312442008044,-0.05474249301255233,-0.5346514671233742,0.26080578765286727
ground truth,,0.0001956575249100086,-0.0006704742565381682,-3.1278168444592546e-07,-0.0013841070385948143,0.0007272840258015868,0.001840655630385864,-3.446526915418409e-06,0.04833578624037409,-0.00023924273278083894,-5.281793132073193e-05,0.0011235239910194323,-2.8536553063880933e-06,0.9501303475106498
