ENZYME_ADH,ENZYME_AK,ENZYME_ATPase,ENZYME_ENO,ENZYME_FBA,ENZYME_GPD,ENZYME_GPM,ENZYME_GPP,ENZYME_HXK_GLK1,ENZYME_HXK_HXK1,ENZYME_HXK_HXK2,ENZYME_PDC_PDC1,ENZYME_PDC_PDC5,ENZYME_PDC_PDC6,ENZYME_PFK,ENZYME_PGI,ENZYME_PGK,ENZYME_PGM,ENZYME_PYK,ENZYME_TDH_TDH1,ENZYME_TDH_TDH2,ENZYME_TDH_TDH3,ENZYME_TPI,ENZYME_TPP,ENZYME_TPS,ENZYME_UGP,ENZYME_acetate_branch,ENZYME_succinate_branch,ENZYME_udp_to_utp,ENZYME_HXT,ACE,EtOH,F26bP,GLCx,GLY,SUC,TRH,ADH1,ADH5,CDC19,ENO1,ENO2,FBA1,GLK1,GPD1,GPD2,GPM1,HOR2,HXK1,HXK2,PDC1,PDC5,PDC6,PFK1,PFK2,PGI1,PGK1,PGM1,PGM2,PYK2,RHR2,TDH1,TDH2,TDH3,TPI1,TPS1,TPS2,UGP1,ADP,ATP,AcAld,BPG,DHAP,F16bP,F6P,G1P,G3P,G6P,GAP,GLC,NAD,P2G,P3G,PEP,PYR,T6P,UDP,UTP,EX_ADH,EX_AK,ATPase,ENO,FBA,EX_GPD,GPM,EX_GPP,HXK_GLK1,HXK_HXK1,HXK_HXK2,PDC_PDC1,PDC_PDC5,PDC_PDC6,PFK,PGI,PGK,PGM,PYK,EX_TDH_TDH1,EX_TDH_TDH2,EX_TDH_TDH3,TPI,EX_TPP,EX_TPS,EX_UGP,EX_acetate_branch,EX_succinate_branch,udp_to_utp,EX_HXT
1,1,1,1,1.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.128629804,2.387410525,0.552567765,0.025115987,0.032920562,0.731614732,2.47745466,4.857322242,0.014536729,5.58E-05,0.38885351,0.006660961,0.14560797,0.263249196,0.062444588,0.01295985,0.103416948,0.154425718,0.734538307,2.673061051,0.746421769,6.66E-16,0.534009623,0.76194821,0.411869852,0.061791494,0.76194821,0.061791494,0.000173163,0.01844037,0.504021048,0.731403541,0.008262604,0.00691276,0.411869852,0.411869852,0.76194821,0.055382365,0.76194821,0.053471101,0,0.70847711,0.350078358,0.055382365,0.055382365,0.055382365,0.000157137,0.015369305,0.055382365,0.522634581
1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.132648435,2.43961212,0.528595302,0.024735024,0.031220923,0.693843421,2.370440353,5.051673253,0.013809187,4.98E-05,0.384120464,0.006408718,0.139461689,0.252060962,0.060636967,0.012106798,0.098406414,0.157942963,0.689122414,2.515815096,0.721287541,1.33E-15,0.516923983,0.736200629,0.397771188,0.059341746,0.736200629,0.059341746,0.000162484,0.017644182,0.486587789,0.706699672,0.007995221,0.006747952,0.397771188,0.397771188,0.736200629,0.053311633,0.736200629,0.051665828,0,0.684534801,0.338429442,0.053311633,0.053311633,0.053311633,0.000155304,0.014757784,0.053311633,0.504394455
1,1,1,1,1,1.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.155271212,2.389797145,0.546394232,0.02620222,0.031596717,0.702195794,2.472353367,4.865049373,0.014511063,5.55E-05,0.388463778,0.00660055,0.143893425,0.269410855,0.061968138,0.012925889,0.103241718,0.153429939,0.720105509,2.66632673,0.745224108,1.33E-15,0.533297338,0.761091615,0.41211302,0.063134425,0.761091615,0.063134425,0.000172697,0.018406438,0.503307121,0.730236864,0.008249994,0.006905052,0.41211302,0.41211302,0.761091615,0.054886617,0.761091615,0.053391769,0,0.707699847,0.348978595,0.054886617,0.054886617,0.054886617,0.000167802,0.015699705,0.054886617,0.521886255
1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.145134354,2.416194949,0.536913453,0.025498813,0.031384111,0.697470502,2.420219065,4.958910232,0.01415023,5.31E-05,0.386248923,0.00649905,0.141522068,0.26081117,0.061261734,0.012499982,0.102167597,0.15560502,0.703582732,2.58914683,0.733035055,1.33E-15,0.525011508,0.748430715,0.404844813,0.061258912,0.748430715,0.061258912,0.000167409,0.018015382,0.494768885,0.718251138,0.008120346,0.006825436,0.404844813,0.404844813,0.748430715,0.054053432,0.748430715,0.052511756,0,0.695918959,0.343585902,0.054053432,0.054053432,0.054053432,0.000161865,0.015233796,0.054053432,0.512951677
1,1,1,1,1,1,1.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.143416939,2.414316607,0.538068373,0.025446591,0.031438985,0.698689981,2.424108136,4.951914691,0.014176127,5.23E-05,0.386429217,0.006510978,0.141825736,0.260835121,0.061350161,0.012530484,0.09966207,0.155546407,0.705898999,2.59481523,0.733949392,-1.33E-15,0.525627831,0.749346074,0.405305111,0.061264147,0.749346074,0.061264147,0.000167794,0.018044069,0.495395978,0.719149188,0.008130066,0.006831428,0.405305111,0.405305111,0.749346074,0.054151365,0.749346074,0.052580376,0,0.696765698,0.344040963,0.054151365,0.054151365,0.054151365,0.000161291,0.015235391,0.054151365,0.513607841
1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.143129454,2.417645077,0.536647306,0.025399768,0.031394344,0.697697857,2.417268457,4.964384284,0.014129461,5.24E-05,0.386130744,0.006495908,0.141464226,0.274732671,0.061242884,0.012475926,0.100615335,0.155795303,0.703276222,2.584750543,0.732342263,-1.33E-15,0.524532641,0.747691801,0.404384023,0.061076246,0.747691801,0.061076246,0.000167112,0.017993111,0.494279077,0.717569368,0.008112966,0.006820883,0.404384023,0.404384023,0.747691801,0.054027638,0.747691801,0.052463211,0,0.695228589,0.343307778,0.054027638,0.054027638,0.054027638,0.000160954,0.015188585,0.054027638,0.5124393
1,1,1,1,1,1,1,1.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.145237733,2.412987223,0.53831095,0.025536635,0.031429612,0.698481733,2.426786729,4.946966551,0.014195014,5.29E-05,0.386536234,0.006513837,0.141878495,0.248254882,0.061367313,0.012552425,0.101066928,0.155374647,0.70617547,2.598809469,0.734577535,-6.66E-16,0.526061373,0.750016168,0.405723232,0.061430295,0.750016168,0.061430295,0.000168066,0.018064306,0.495840526,0.719767347,0.008136757,0.006835551,0.405723232,0.405723232,0.750016168,0.054174833,0.750016168,0.052624386,0,0.697391783,0.344292937,0.054174833,0.054174833,0.054174833,0.000162119,0.015276514,0.054174833,0.514072898
1,1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.144249751,2.415230101,0.537481748,0.025471694,0.031411339,0.698075603,2.422191163,4.955393473,0.014163373,5.26E-05,0.386340772,0.006504936,0.141671273,0.260820083,0.061305201,0.012515522,0.100848955,0.155568978,0.704737639,2.592062167,0.733498791,0,0.525328648,0.74889479,0.405077825,0.06126086,0.74889479,0.06126086,0.000159227,0.018030147,0.495091973,0.718706607,0.008125276,0.006828476,0.405077825,0.405077825,0.74889479,0.054101761,0.74889479,0.05254661,0,0.69634818,0.343816965,0.054101761,0.054101761,0.054101761,0.000161568,0.015234431,0.054101761,0.513281347
1,1,1,1,1,1,1,1,1.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.144219858,2.415195336,0.53755395,0.025471096,0.031414319,0.698141831,2.422319748,4.955096563,0.014164201,5.27E-05,0.386345874,0.006505651,0.141690691,0.260827526,0.061310853,0.012516365,0.100854704,0.155579541,0.704851443,2.592167067,0.733529011,0,0.525340053,0.748925412,0.40509395,0.061262487,0.748925412,0.061262487,0.000175995,0.018030656,0.495102546,0.718736299,0.008125597,0.006828674,0.40509395,0.40509395,0.748925412,0.054107624,0.748925412,0.05254878,0,0.696376632,0.343831463,0.054107624,0.054107624,0.054107624,0.00016156,0.015234842,0.054107624,0.513309198
1,1,1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.145851425,2.417093281,0.533635834,0.025504014,0.031252145,0.694537846,2.415313669,4.97130598,0.014119091,5.24E-05,0.386067862,0.006466843,0.140637005,0.260421634,0.061003365,0.012470467,0.100541468,0.155006656,0.698674304,2.586425487,0.731881428,-6.66E-16,0.524715173,0.747255867,0.404214811,0.061173754,0.747255867,0.061173754,0.000167226,0.017102604,0.49452294,0.71711749,0.008108074,0.006817864,0.404214811,0.404214811,0.747255867,0.05378898,0.747255867,0.052430478,0,0.694825388,0.343041056,0.05378898,0.05378898,0.05378898,0.000161999,0.015212439,0.05378898,0.51179277
